Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Information,Agreement Duration
Accounts of Chemical Research,1520-4898,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
Accounts of Materials Research,2643-6728,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Agricultural Science & Technology,2692-1952,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Applied Bio Materials,2576-6422,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Applied Electronic Materials,2637-6113,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Applied Energy Materials,2574-0962,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Applied Engineering Materials,2771-9545,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Applied Materials & Interfaces,1944-8252,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Applied Nano Materials,2574-0970,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
ACS Applied Optical Materials,2771-9855,Hybrid,Yes,,Chemistry ,ACS,"											
1	ACS Au journals a flat $3000 APC applies, with an exception of ACS Omega for which the APC has already been heavily discounted. 
2	This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages																				
NB: Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.																		",2023-2025
