Journal Title	eISSN	Open Access Status	Included in R&P agreement	Explanation if not included	Subject	Publisher	Agreement Duration
AIP Conference Proceedings	1551-7616	Hybrid			Physics	AIP	2025-2027
American Journal of Physics	1943-2909	Hybrid			Physics	AIP	2025-2027
Applied Physics Letters	1077-3118	Hybrid			Physics	AIP	2025-2027
Applied Physics Reviews	1931-9401	Hybrid			Physics	AIP	2025-2027
AVS Quantum Science	2639-0213	Hybrid			Physics	AIP	2025-2027
Biointerphases	1559-4106	Hybrid			Physics	AIP	2025-2027
Biophysics Reviews	2688-4089	Hybrid			Physics	AIP	2025-2027
Chaos: An Interdisciplinary Journal of Nonlinear Science	1089-7682	Hybrid			Physics	AIP	2025-2027
Chemical Physics Reviews	2688-4070	Hybrid			Physics	AIP	2025-2027
Chinese Journal of Chemical Physics	2327-2244	Hybrid			Physics	AIP	2025-2027
Journal of Applied Physics	1089-7550	Hybrid			Physics	AIP	2025-2027
Journal of Laser Applications	1938-1387	Hybrid			Physics	AIP	2025-2027
Journal of Mathematical Physics	1089-7658	Hybrid			Physics	AIP	2025-2027
Journal of Physical and Chemical Reference Data	1529-7845	Hybrid			Physics	AIP	2025-2027
Journal of Renewable and Sustainable Energy	1941-7012	Hybrid			Physics	AIP	2025-2027
Journal of Rheology	1520-8516	Hybrid			Physics	AIP	2025-2027
Journal of Vacuum Science & Technology A	1520-8559	Hybrid			Physics	AIP	2025-2027
Journal of Vacuum Science & Technology B	2166-2754	Hybrid			Physics	AIP	2025-2027
LIA Conference Proceedings		Hybrid			Physics	AIP	2025-2027
Low Temperature Physics	1090-6517	Hybrid			Physics	AIP	2025-2027
Physics of Fluids	1089-7666	Hybrid			Physics	AIP	2025-2027
Physics of Plasmas	1089-7674	Hybrid			Physics	AIP	2025-2027
Review of Scientific Instruments	1089-7623	Hybrid			Physics	AIP	2025-2027
Surface Science Spectra	1520-8575	Hybrid			Physics	AIP	2025-2027
The Journal of Chemical Physics	1089-7690	Hybrid			Physics	AIP	2025-2027
The Journal of the Acoustical Society of America		Hybrid			Physics	AIP	2025-2027
The Physics Teacher	1943-4928	Hybrid			Physics	AIP	2025-2027
