Title,e-ISSN ,Open Access Status,Included in R&P agreement,Publisher,Agreement Duration
ACM / IMS Journal of Data Science,2831-3194,Gold OA,Yes,ACM,2024-2026
ACM Computing Surveys,1557-7341,Hybrid,Yes,ACM,2024-2026
ACM Journal of Experimental Algorithmics,1084-6654,Hybrid,Yes,ACM,2024-2026
ACM Journal on Autonomous Transportation Systems,2833-0528,Hybrid,Yes,ACM,2024-2026
ACM Journal on Computing and Sustainable Societies,2834-5533,Hybrid,Yes,ACM,2024-2026
ACM Journal on Emerging Technologies in Computing Systems,1550-4840,Hybrid,Yes,ACM,2024-2026
ACM Journal on Responsible Computing,2832-0565,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Accessible Computing,1936-7236,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Algorithms,1549-6333,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Applied Perception,1544-3965,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Architecture and Code Optimization,1544-3973,Gold OA,Yes,ACM,2024-2026
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4702,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Autonomous and Adaptive Systems,1556-4703,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Computation Theory,1942-3462,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Computational Logic,1557-945X,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Computer Systems,1557-7333,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Computer-Human Interaction,1557-7325,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Computing Education,1946-6226,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Computing for Healthcare,2637-8051,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Cyber-Physical Systems,2378-9638,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Database Systems,1557-4644,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Design Automation of Electronic Systems,1557-7309,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Economics and Computation,2167-8383,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Embedded Computing Systems,1558-3465,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Evolutionary Learning and Optimization,2688-3007,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Graphics,1557-7368,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Human-Robot Interaction,2573-9522,Gold OA,Yes,ACM,2024-2026
ACM Transactions on Information Systems,1558-2868,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Intelligent Systems and Technology,2157-6912,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Interactive Intelligent Systems,2160-6463,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Internet of Things,2577-6207,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Internet Technology,1557-6051,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Knowledge Discovery from Data,1556-472X,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Management Information Systems,2158-6578,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Mathematical Software,1557-7295,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Modeling and Computer Simulation,1558-1195,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3647,Hybrid,Yes,ACM,2024-2026
"ACM Transactions on Multimedia Computing, Communications, and Applications",1551-6865,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Parallel Computing,2329-4957,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Privacy and Security,2471-2574,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Probabilistic Machine Learning,2836-8924,Gold OA,Yes,ACM,2024-2026
ACM Transactions on Programming Languages and Systems,1558-4593,Gold OA,Yes,ACM,2024-2026
ACM Transactions on Quantum Computing,2643-6817,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Recommender Systems,2770-6699,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Reconfigurable Technology and Systems,1936-7414,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Sensor Networks,1550-4867,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Social Computing,2469-7826,Hybrid,Yes,ACM,2024-2026
ACM Transactions on Software Engineering and Methodology,1557-7392,Gold OA,Yes,ACM,2024-2026
ACM Transactions on Spatial Algorithms and Systems,2374-0361,Hybrid,Yes,ACM,2024-2026
