Journal Title,issn,Open Access Status,Included in the Agreement ,Subject,Publisher,Agreement Duration
Current Indian Science,2210-3007,Gold OA,Y,,Bentham,2024-2026
Current Medical Imaging,1875-6603,Gold OA,Y,Medical Imaging,Bentham,2024-2026
New Emirates Medical Journal,0250-6882,Gold OA,Y,Medicine,Bentham,2024-2026
Clinical Practice & Epidemiology in Mental Health,1745-0179,Gold OA,Y,Psychiatry,Bentham,2024-2026
The Open Agriculture Journal,1874-3315,Gold OA,Y,Agriculture Science,Bentham,2024-2026
The Open AIDS Journal,1874-6136,Gold OA,Y,Infectious Diseases,Bentham,2024-2026
The Open Anesthesia Journal,2589-6458,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Biochemistry Journal,1874-091X,Gold OA,Y,Biochemistry,Bentham,2024-2026
The Open Bioinformatics Journal,1875-0362,Gold OA,Y,Bioinformatics,Bentham,2024-2026
The Open Biology Journal,1874-1967,Gold OA,Y,Biology,Bentham,2024-2026
The Open Biomarkers Journal ,1875-3183,Gold OA,Y,Biomarkers,Bentham,2024-2026
The Open Biomaterials Science Journal,2665-9956,Gold OA,Y,Material Science,Bentham,2024-2026
The Open Biomedical Engineering Journal,1874-1207,Gold OA,Y,Engineering,Bentham,2024-2026
The Open Biotechnology Journal,1874-0707,Gold OA,Y,Biotechnology,Bentham,2024-2026
The Open Cardiovascular Medicine Journal,1874-1924,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Chemical Engineering Journal,1874-1231,Gold OA,Y,Engineering,Bentham,2024-2026
The Open Civil Engineering Journal,1874-1495,Gold OA,Y,Engineering,Bentham,2024-2026
The Open Construction & Building Technology Journal,1874-8368,Gold OA,Y,Engineering,Bentham,2024-2026
The Open COVID Journal,2666-9587 ,Gold OA,Y,Infectious Diseases,Bentham,2024-2026
The Open Dentistry Journal,1874-2106,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Dermatology Journal,1874-3722,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Environmental Research Journal,2590-2776,Gold OA,Y,Environmental Science,Bentham,2024-2026
The Open Medicinal Chemistry Journal,1874-1045,Gold OA,Y,Medicinal Chemistry,Bentham,2024-2026
The Open Microbiology Journal,1874-2858,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Neuroimaging Journal,1874-4400,Gold OA,Y,Neuroscience,Bentham,2024-2026
The Open Neurology Journal,1874-205X,Gold OA,Y,Neuroscience,Bentham,2024-2026
The Open Nursing Journal,1874-4346,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Ophthalmology Journal,1874-3641,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Orthopaedics Journal,1874-3250,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Psychology Journal,1874-3501,Gold OA,Y,Psychology,Bentham,2024-2026
The Open Public Health Journal,1874-9445,Gold OA,Y,Health,Bentham,2024-2026
The Open Respiratory Medicine Journal,1874-3064,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Rheumatology Journal,1874-3129,Gold OA,Y,Medicine,Bentham,2024-2026
The Open Sports Sciences Journal,1875-399X,Gold OA,Y,Sports Science,Bentham,2024-2026
The Open Transportation Journal,1874-4478,Gold OA,Y,Transportation,Bentham,2024-2026
The Open Urology & Nephrology Journal,1874-303X,Gold OA,Y,Medicine,Bentham,2024-2026
Open Medicine Journal,1874-2203,Gold OA,Y,Medicine,Bentham,2024-2026
Current Computer Science,2950-3787,Hybrid,,Computer Science,Bentham,2024-2026
Current Drug Research Reviews,2589-9783,Hybrid,,Addiction/Substance Abuse/Pharmacology,Bentham,2024-2026
Current Pharmacogenomics and Personalized Medicine,1875-6913,Hybrid,,Molecular Medicine,Bentham,2024-2026
CNS & Neurological Disorders - Drug Targets,1996-3181,Hybrid,,Pharmacology,Bentham,2024-2026
Current Reviews in Clinical and Experimental Pharmacology,2772-4336,Hybrid,,Pharmacology,Bentham,2024-2026
Cardiovascular & Hematological Agents in Medicinal Chemistry,1875-6182,Hybrid,,Cardiovascular Science,Bentham,2024-2026
Infectious Disorders - Drug Targets ,2212-3989,Hybrid,,Anti_infective / Infectious Diseases/Pharmacology,Bentham,2024-2026
Anti-Inflammatory & Anti-Allergy Agents in Medicinal Chemistry,1875-614X,Hybrid,,Inflammation & Allergy Science,Bentham,2024-2026
Anti-Infective Agents ,2211-3533,Hybrid,,Anti_infective / Infectious Diseases/Drug discovery,Bentham,2024-2026
Cardiovascular & Hematological Disorders-Drug Targets,2212-4063,Hybrid,,Cardiology  & Cardiovascular Science: Pharmacology,Bentham,2024-2026
Current Nanomedicine,2468-1881,Hybrid,,Nanomedicine,Bentham,2024-2026
Central Nervous System Agents in Medicinal Chemistry, 1875-6166 ,Hybrid,,Neuroscience/Drug discovery,Bentham,2024-2026
Anti-Cancer Agents in Medicinal Chemistry,1875-5992,Hybrid,,Cancer Research,Bentham,2024-2026
Recent Advances in Electrical & Electronic Engineering ,2352-0973,Hybrid,,Engineering,Bentham,2024-2026
Recent Advances in Inflammation & Allergy Drug Discovery,2772-2716,Hybrid,,Inflammation & Allergy Science,Bentham,2024-2026
