Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Journal of Agricultural and Applied Economics,2056-7405,Gold OA,Y,,Economics,CUP,2025-2027
Advances in Archaeological Practice,2326-3768,Gold OA,Y,,Archaeology & Anthropology,CUP,2025-2027
American Antiquity,2325-5064,Hybrid,Y,,Archaeology & Anthropology,CUP,2025-2027
Annals of Actuarial Science,1748-5002,Gold OA,Y,,Business and Management,CUP,2025-2027
"Africa Bibliography, Research and Documentation",2752-6402,Hybrid,Y,,Area Studies,CUP,2025-2027
Asian Journal of Comparative Law,1932-0205,Hybrid,Y,,Law,CUP,2025-2027
Australian Journal of Environmental Education,2049-775X,Gold OA,Y,,Ecology & Conservation,CUP,2025-2027
The Aeronautical Journal,2059-6464,Hybrid,Y,,Engineering,CUP,2025-2027
Africa Bibliography,1757-1642,No OA,N,Subscription,Area Studies,CUP,2025-2027
The Journal of African History,1469-5138,Research Open,Y,,History,CUP,2025-2027
Africa,1750-0184,Hybrid,Y,,Area Studies,CUP,2025-2027
Agricultural and Resource Economics Review,2372-2614,Gold OA,Y,,Economics,CUP,2025-2027
The Journal of Agricultural Science,1469-5146,Hybrid,Y,,Agriculture,CUP,2025-2027
Animal Health Research Reviews,1475-2654,Gold OA,Y,,Animal Science,CUP,2025-2027
"Annales. Histoire, Sciences Sociales",1953-8146,No OA,N,Subscription,History,CUP,2025-2027
Austrian History Yearbook,1558-5255,Hybrid,Y,,History,CUP,2025-2027
AI EDAM,1469-1760,Gold OA,Y,,Engineering,CUP,2025-2027
American Journal of International Law,2161-7953,Hybrid,Y,,Law,CUP,2025-2027
Asian Journal of International Law,2044-2521,Hybrid,Y,,Law,CUP,2025-2027
AJIL Unbound,2398-7723,Gold OA (No APC),N,Free to publish,Law,CUP,2025-2027
Art Libraries Journal,2059-7525,Hybrid,Y,,Architecture,CUP,2025-2027
Asian Journal of Law and Society,2052-9023,Hybrid,Y,,Law,CUP,2025-2027
American Journal of Law & Medicine,2375-835X,Hybrid,Y,,Law,CUP,2025-2027
Proceedings of the ASIL Annual Meeting,2169-1118,Hybrid,Y,,Law,CUP,2025-2027
Journal of American Studies,1469-5154,Hybrid,Y,,Area Studies,CUP,2025-2027
"Annales. Histoire, Sciences Sociales: English Edition",2268-3763,No OA,N,Subscription,History,CUP,2025-2027
Anatolian Studies,2048-0849,Hybrid,Y,,Classics,CUP,2025-2027
Antichthon,2056-8819,Hybrid,Y,,Classics,CUP,2025-2027
Animal Nutriomics,2977-3784,Gold OA,Y,,Animal Science,CUP,2025-2027
Antarctic Science,1365-2079,Gold OA,Y,,Earth & Atmospheric Science,CUP,2025-2027
The Antiquaries Journal,1758-5309,Hybrid,Y,,Archaeology & Anthropology,CUP,2025-2027
Acta Numerica,1474-0508,Gold OA,Y,,Mathematics,CUP,2025-2027
The ANZIAM Journal,1446-8735,Hybrid,Y,,Mathematics,CUP,2025-2027
Annals of Glaciology,1727-5644,Gold OA,Y,,Earth & Atmospheric Science,CUP,2025-2027
Journal of the American Philosophical Association,2053-4485,Gold OA,Y,,Philosophy,CUP,2025-2027
Asia-Pacific Journal,1557-4660,Gold OA,Y,,Area Studies,CUP,2025-2027
Annual Review of Applied Linguistics,1471-6356,Hybrid,Y,,Language & Linguistics,CUP,2025-2027
Advances in Applied Probability,1475-6064,Hybrid,Y,,Mathematics,CUP,2025-2027
Applied Psycholinguistics,1469-1817,Gold OA,Y,,Language & Linguistics,CUP,2025-2027
Antiquity,1745-1744,Hybrid,Y,,Archaeology & Anthropology,CUP,2025-2027
Archaeological Dialogues,1478-2294,Gold OA,Y,,Archaeology & Anthropology,CUP,2025-2027
Archaeological Reports,2041-4102,Hybrid,Y,,Archaeology & Anthropology,CUP,2025-2027
Architectural History,2059-5670,Hybrid,Y,,History,CUP,2025-2027
arq: Architectural Research Quarterly,1474-0516,Hybrid,Y,,Architecture,CUP,2025-2027
ASTIN Bulletin: The Journal of the IAA,1783-1350,Hybrid,Y,,Business and Management,CUP,2025-2027
Antimicrobial Stewardship & Healthcare Epidemiology,2732-494X,Gold OA,Y,,Clinical Medicine,CUP,2025-2027
International Journal of Asian Studies,1479-5922,Research Open,Y,,Area Studies,CUP,2025-2027
Ageing & Society,1469-1779,Hybrid,Y,,Social Studies,CUP,2025-2027
Arabic Sciences and Philosophy,1474-0524,Hybrid,Y,,History & Philosophy of Science,CUP,2025-2027
African Studies Review,1555-2462,Hybrid,Y,,Area Studies,CUP,2025-2027
Modern Asian Studies,1469-8099,Hybrid,Y,,Area Studies,CUP,2025-2027
Journal of Anglican Studies,1745-5278,Hybrid,Y,,Religious Studies,CUP,2025-2027
Annual of the British School at Athens,2045-2403,Hybrid,Y,,Classics,CUP,2025-2027
Ancient Mesoamerica,1469-1787,Hybrid,Y,,Archaeology & Anthropology,CUP,2025-2027
Animal Welfare,2054-1538,Gold OA,Y,,Animal Science,CUP,2025-2027
British Actuarial Journal,2044-0456,Gold OA (No APC),N,Free to publish,Business and Management,CUP,2025-2027
Business and Politics,1469-3569,Gold OA,Y,,Business and Management,CUP,2025-2027
Bulletin of the Australian Mathematical Society,1755-1633,Hybrid,Y,,Mathematics,CUP,2025-2027
Behavioral and Brain Sciences,1469-1825,No OA,N,Subscription,Psychology & Psychiatry,CUP,2025-2027
Journal of Benefit-Cost Analysis,2152-2812,Gold OA,Y,,Economics,CUP,2025-2027
British Catholic History,2055-7981,Hybrid,Y,,History,CUP,2025-2027
Bird Conservation International,1474-0001,Hybrid,Y,,Ecology & Conservation,CUP,2025-2027
Canadian Mathematical Bulletin,1496-4287,Hybrid,Y,,Mathematics,CUP,2025-2027
Behavioural and Cognitive Psychotherapy,1469-1833,Hybrid,Y,,Psychology & Psychiatry,CUP,2025-2027
Business Ethics Quarterly,2153-3326,Hybrid,Y,,Business and Management,CUP,2025-2027
Bulletin of Entomological Research,1475-2670,Hybrid,Y,,Ecology & Conservation,CUP,2025-2027
Business and Human Rights Journal,2057-0201,Research Open,Y,,Business and Management,CUP,2025-2027
Business History Review,2044-768X,Hybrid,Y,,Business and Management,CUP,2025-2027
Bilingualism: Language and Cognition,1469-1841,Gold OA,Y,,Language & Linguistics,CUP,2025-2027
BJPsych Advances,2056-4686,Hybrid,Y,,Psychology & Psychiatry,CUP,2025-2027
BJPsych Bulletin,2056-4708,Gold OA (No APC),N,Free to publish,Psychology & Psychiatry,CUP,2025-2027
The British Journal for the History of Science,1474-001X,Research Open,Y,,History & Philosophy of Science,CUP,2025-2027
BJPsych International,2058-6264,Gold OA (No APC),N,Free to publish,Psychology & Psychiatry,CUP,2025-2027
British Journal of Nutrition,1475-2662,Hybrid,Y,,Nutrition,CUP,2025-2027
BJPsych Open,2056-4724,Gold OA,Y,,Psychology & Psychiatry,CUP,2025-2027
The British Journal of Psychiatry,1472-1465,Hybrid,Y,,Psychology & Psychiatry,CUP,2025-2027
BJHS Themes,2056-354X,Gold OA,Y,,History & Philosophy of Science,CUP,2025-2027
British Journal of Music Education,1469-2104,Hybrid,Y,,Music & Drama,CUP,2025-2027
Behavioural Public Policy,2398-0648,Gold OA,Y,,Economics,CUP,2025-2027
Britannia,1753-5352,Hybrid,Y,,Classics,CUP,2025-2027
Bulletin of Symbolic Logic,1943-5894,Hybrid,Y,,Mathematics,CUP,2025-2027
Bulletin of the School of Oriental and African Studies,1474-0699,Hybrid,Y,,Area Studies,CUP,2025-2027
Research Directions: Biotechnology Design,2752-9452,Gold OA,Y,,Biology,CUP,2025-2027
Byzantine and Modern Greek Studies,1749-625X,Hybrid,Y,,History,CUP,2025-2027
Cambridge Archaeological Journal,1474-0540,Gold OA,Y,,Archaeology & Anthropology,CUP,2025-2027
Canadian Journal of Philosophy,1911-0820,Hybrid,Y,,Philosophy,CUP,2025-2027
The Classical Quarterly,1471-6844,Hybrid,Y,,Classics,CUP,2025-2027
The Classical Review,1464-3561,Hybrid,Y,,Classics,CUP,2025-2027
Cambridge Prisms: Carbon Technologies,2977-0505,Gold OA,Y,,Earth & Atmospheric Science,CUP,2025-2027
Research Directions: Cyber-Physical Systems,2753-8516,Gold OA,Y,,Computer Science,CUP,2025-2027
The Cognitive Behaviour Therapist,1754-470X,Hybrid,Y,,Psychology & Psychiatry,CUP,2025-2027
Central European History,1569-1616,Hybrid,Y,,History,CUP,2025-2027
The Cambridge Classical Journal,2047-993X,Hybrid,Y,,Classics,CUP,2025-2027
Contemporary European History,1469-2171,Hybrid,Y,,History,CUP,2025-2027
Cambridge Yearbook of European Legal Studies,2049-7636,Gold OA,Y,,Law,CUP,2025-2027
Cambridge Forum on AI: Culture and Society,3033-3725,Gold OA,Y,,Literature,CUP,2025-2027
Cambridge Forum on AI: Law and Governance,3033-3733,Gold OA,Y,,Law,CUP,2025-2027
Cambridge Prisms: Coastal Futures,2754-7205,Gold OA,Y,,Earth & Atmospheric Science,CUP,2025-2027
Church History,1755-2613,Hybrid,Y,,Religious Studies,CUP,2025-2027
Computational Humanities Research,2977-8158,Gold OA,Y,,Language & Linguistics,CUP,2025-2027
Canadian Journal on Aging / La Revue canadienne du vieillissement,1710-1107,Hybrid,Y,,Social Studies,CUP,2025-2027
Canadian Journal of Law & Jurisprudence,2056-4260,Gold OA,Y,,Law,CUP,2025-2027
Canadian Journal of Mathematics,1496-4279,Hybrid,Y,,Mathematics,CUP,2025-2027
Canadian Journal of Neurological Sciences,2057-0155,Hybrid,Y,,Neuroscience,CUP,2025-2027
Canadian Journal of Political Science/Revue canadienne de science politique,1744-9324,Hybrid,Y,,Politics & International Relations,CUP,2025-2027
The Cambridge Law Journal,1469-2139,Hybrid,Y,,Law,CUP,2025-2027
Clay Minerals,1471-8030,Hybrid,Y,,Earth & Atmospheric Science,CUP,2025-2027
Canadian Journal of Law & Society / La Revue Canadienne Droit et Société,1911-0227,Gold OA,Y,,Law,CUP,2025-2027
Clays and Clay Minerals,1552-8367,Hybrid,Y,,Earth & Atmospheric Science,CUP,2025-2027
Canadian Journal of Linguistics/Revue canadienne de linguistique,1710-1115,Hybrid,Y,,Language & Linguistics,CUP,2025-2027
CNS Spectrums,2165-6509,Gold OA,Y,,Psychology & Psychiatry,CUP,2025-2027
Compositio Mathematica,1570-5846,Hybrid,Y,,Mathematics,CUP,2025-2027
Continuity and Change,1469-218X,Hybrid,Y,,History,CUP,2025-2027
"Combinatorics, Probability and Computing",1469-2163,Hybrid,Y,,Mathematics,CUP,2025-2027
Critical Pakistan Studies,2753-2712,Gold OA,Y,,Area Studies,CUP,2025-2027
Cambridge Quarterly of Healthcare Ethics,1469-2147,Research Open,Y,,Medical Policy,CUP,2025-2027
The China Quarterly,1468-2648,Hybrid,Y,,Area Studies,CUP,2025-2027
International Annals of Criminology,2398-676X,Hybrid,Y,,Social Studies,CUP,2025-2027
Comparative Studies in Society and History,1475-2999,Hybrid,Y,,History,CUP,2025-2027
Journal of Clinical and Translational Science,2059-8661,Gold OA,Y,,Biomedical Sciences,CUP,2025-2027
Cardiology in the Young,1467-1107,Hybrid,Y,,Clinical Medicine,CUP,2025-2027
Canadian Yearbook of International Law / Annuaire canadien de droit international,1925-0169,Hybrid,Y,,Law,CUP,2025-2027
Data & Policy,2632-3249,Gold OA,Y,,Computer Science,CUP,2025-2027
Journal of Dairy Research,1469-7629,Hybrid,Y,,Agriculture,CUP,2025-2027
Du Bois Review: Social Science Research on Race,1742-0598,Hybrid,Y,,Social Studies,CUP,2025-2027
Data-Centric Engineering,2632-6736,Gold OA,Y,,Engineering,CUP,2025-2027
Journal of Demographic Economics,2054-0906,Hybrid,Y,,Economics,CUP,2025-2027
Research Directions: Depression,2976-9000,Gold OA,Y,,Psychology & Psychiatry,CUP,2025-2027
Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie,1759-0949,Hybrid,Y,,Philosophy,CUP,2025-2027
Disaster Medicine and Public Health Preparedness,1938-744X,Hybrid,Y,,Clinical Medicine,CUP,2025-2027
Journal of Developmental Origins of Health and Disease,2040-1752,Hybrid,Y,,Clinical Medicine,CUP,2025-2027
Development and Psychopathology,1469-2198,Hybrid,Y,,Psychology & Psychiatry,CUP,2025-2027
Dance Research Journal,1940-509X,Hybrid,Y,,Music & Drama,CUP,2025-2027
Cambridge Prisms: Drylands,2976-5293,Gold OA,Y,,Earth & Atmospheric Science,CUP,2025-2027
Design Science,2053-4701,Gold OA,Y,,Engineering,CUP,2025-2027
European Journal of Archaeology,1741-2722,Research Open,Y,,Archaeology & Anthropology,CUP,2025-2027
Early China,2325-2324,Hybrid,Y,,Area Studies,CUP,2025-2027
Experimental Agriculture,1469-4441,Gold OA,Y,,Agriculture,CUP,2025-2027
Early Medieval England and its Neighbours,3033-3679,Gold OA,Y,,History,CUP,2025-2027
Economics & Philosophy,1474-0028,Research Open,Y,,Philosophy,CUP,2025-2027
The Journal of Ecclesiastical History,1469-7637,Hybrid,Y,,History,CUP,2025-2027
European Constitutional Law Review,1744-5515,Gold OA,Y,,Law,CUP,2025-2027
Eighteenth-Century Music,1478-5714,Hybrid,Y,,Music & Drama,CUP,2025-2027
Econometric Theory,1469-4360,Hybrid,Y,,Economics,CUP,2025-2027
Environment and Development Economics,1469-4395,Hybrid,Y,,Economics,CUP,2025-2027
Environmental Data Science,2634-4602,Gold OA,Y,,Earth & Atmospheric Science,CUP,2025-2027
Experimental Economics,1573-6938,Gold OA,Y,,Economics,CUP,2025-2027
Evolutionary Human Sciences,2513-843X,Gold OA,Y,,Biology,CUP,2025-2027
Ethics & International Affairs,1747-7093,Research Open,Y,,Politics & International Relations,CUP,2025-2027
European Journal of International Security,2057-5645,Gold OA,Y,,Politics & International Relations,CUP,2025-2027
European Journal of Applied Mathematics,1469-4425,Gold OA,Y,,Mathematics,CUP,2025-2027
