Journal title                                (Previous title if applicable),ISSN,eISSN,Publisher details
" African Journal of Gender and Religion (Formelry Journal of Constructive Theology: Gender, Religion and Theology in Africa (Journal of Gender and Religion in Africa)",1025-5648,2707-2991,"Desmond Tutu Centre for Religion and Social Justice, University of the Western Cape"
South African Judicial Education Journal,2616-7999,,South African Judicial Education Institute
African Human Rights Yearbook,2523-1367 ,2663-323X,Pretoria University Law Press
 Reading and Writing,2079-8245,2308-1422,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Acta Academica,0587-2405,,"PUBLISHER ADDRESS 
Sun Media Bloemfontein 
55 Brill St 
Westdene 
Postnet Suite 214 
Private Bag X01 
Brandhof 9324 
Tel : +27-(0)51-430-0459 
Fax : 086-545-4491 
E-mail : sunmedia@sunbloem.co.za
 


"
Acta Classica,0065-1141,'2227-538X,Classical Association of SA                                       Department of Ancient Language                                            University of Stellenbosch                                           PrivateBag X                                                    Matieland 7602                                                          Tel:021 808 3137                                                      E-mail:jct@akad.sun.ac.za
Acta Commercii,2413-1903,1684-1999,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Acta Criminologica: African Journal of Criminology and Victimology (Formelry Acta Criminologica: Southern African Journal of Criminology),1012-8093,,Criminological and Victimological Society of  Africa  
"Acta Germanica, German Studies in Africa",0065-1273,,"Sun Media Bloemfotein, Private Bag X 01, Brandhof 9324"
Acta Juridica,0065-1346,,"Faculty of Law, UCT                               Juta&Company                                                       P.O. Box 14363                                                       Cape Town, 8000                           Email: pvanaardt@juta.co.za"
Acta Structilia,1023-0564,'2415-0487,"SUN Media, Bloemfontein, Email:admin@sunbloem.co.za"
Acta Theologica ,1015-8758,'2309-9089,"Sun Media Bloemfontein  Tel: + 27 51 430 0459
Fax: +27 86 545 4491
E-mail: sunmedia@sunbloem.co.za
Physical address:
59 Brill Street
Westdene
BLOEMFONTEIN"
Administratio Publica,1015-4833,,Association of Southern African Schools and Departments of Public Administration and Management (ASSADPAM). 
Africa Education Review (Educare),1814-6627,1753-5921,Co-published by: Unisa Press & Routledge                               
Africa Insight,0256-2804,,"Human Sciences Research Council, Private Bag X41,0001"
Africa Journal of Nursing and Midwifery,1682-5055,2520-5293,University of South Africa Press                                                         P O Box 392                                                             Pretoria                                                               0003                                                                                                                                                      Tel :012 429 6149                                              E-mail: rallpb@unisa.ac.za  
African Disability Rights Yearbook,2311-8970,,"Pretoria University Law Press (PULP), Faculty of Law, University of Pretoria, South Africa,0002"
African Entomology,1021-3589,2224-8854,"Entomological Society of Southern Africa, PO Box 13162 Hatfield, Pretoria, 0028 http://www.entosocsa.co.za"
African Evaluation Journal,2310-4988,2306-5133,"AOSIS (Pty) Ltd, Postnet Suite #110, Private Bag X19, Durbanville, Cape Twon, 750. Email: publishing@aosis.co.za"
African Finance Journal,1605-9786,,"Africagrowth Institute
Canal Edge 2 
Tyger Waterfront 
Carl Cronje Drive
Bellville, 7535
Cape Town, South Africa 

"
African Historical Review (Kleio),1753-2523,1753-2531,Co-published by :Routledge    & Unisa Press
African Human Mobility Review (AHMR),2411-6955,,"Scalabrini Insittute For Human Mobility in Africa                                                                     47,Commercial St,8001 Cape Town-South Africa                                                                          Tel :0027 021 461 4741                                            E-mail :editor@sihma.org.za"
African Human Rights Law Journal,1609-073X,,Pretoria University Law Press 
African Invertebrates ,1618-5556 ,,"Council Natal Museum, Private Bag 9070, Pietermaritzburg, Kwazulu-Natal"
"African Journal for Physical Activity and Health Sciences (AJPHES). Formelry African Journal for Physical, Health Education, Recreation and Dance (AJPHERD)",2411-6939,,"AAFAHPER-SD;Centre for Biokinetics,            Recreation and Sport Science                         LAM Publication Ltd."
African Journal of Agricultural and Resource Economics ,1993-3738,,University of Pretoria Press - SA
African Journal of AIDS Research (AJAR),1608-5906,1727-9445,"Co-published by National Inquiry Service Centre, Pty Ltd and Taylor and Francis"
African Journal Of Aquatic Science ,"1608-5914

",1727-9364,"Co-published by National Inquiry Service Centre, Pty Ltd and Taylor and Francis"
African Journal of Democracy And Governance(AJDG),2313-6529,,"Institute for Democracy and Governance,Peace & Development in Africa                                                              PO Box 4320                                                           The Reeds 0158 ,South Africa,                                  Tell/Fax: +27 (012) 661 9774                                  Email :info@idgpa.org Web:www.idgpa.org      "
African Journal of Disability,2223-9170,2226-7220,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
African Journal of Employee Relations (Formelry South African Journal of Labour Relations),2709-0426 ,2664-3731 ,UNISA Press
African Journal of Health Professions  Education ,2078-5127,,South African Medical Association
African Journal of Herpetology,2156-4574, 2153-3660,"Co-published by National Inquiry Service Centre, Pty Ltd and Taylor and Francis"
African journal of Laboratory Medicine,2225-2002,2225-2010,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
African Journal of Marine Science,1814-232X,"1814-2338
","Co-published by National Inquiry Service Centre, Pty Ltd and Taylor and Francis"
African Journal of Primary Health Care & Family Medicine,2071-2928,2071-2936,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
African Journal of Range and Forage Science,"1022-0119

",1727-9380,"Co-published by National Inquiry Service Centre, Pty Ltd and Taylor and Francis"
"African Journal of Research in Mathematics, Science and Technology Education (AJRMSTE) or African Journal of Research in MST Education",1811-7295,2469-7656, Routledge 
African journal of Rhetoric,1998-2054,,"The African Association for Rhetoric, University of KwaZulu-Natal, Durban, South Africa"
"African Journal of Science, Technology, Innovation and Development",2042-1338,2042-1346,"Co-published by Routledge and the National Inquiry Service Centre (NISC), North Tower, First Floor 160 Jan Smuts Avenue, Rosebank, 2196"
African Journal of Thoracic and Critical Care Medicine ( Previously South African Respiratory Journal).,2304-0017,,"Health and Medical Publishing Group (pty) Ltd.                                                                                  Co.registration 2004/0220 32/07,a subsidiary of SAMA.                                                                                    Head Office:Block F,Castle Walk Corporate Park,Nossob Street,Erasmuskloof Ext. 3,Pretoria,0181                                    "
African Journal on Conflict Resolution,1562-6997,,African Centre for the Constructive Resolution of Disputes(ACCORD)                                            Private Bag X018 Umhlanga Rocks 4320                       Tel: 031 502 3908                                                          Fax:031 502 4160
African Journalism Studies (Fromerly Ecquid Novi - African Journalism Studies),2374-3670,2374-3689,Co-published by Routledge and UNISA Press
African Music: Journal of the International Library of African Music ,0065-4019,,International Library of African Music - SA
African Population Studies,0850-5780,,"Forum Press, PO Box 93895, Boordfontein 0201"
African Review of Economics & Finance (The Journal of the African Centre for Economics & Finance) ,2042-1478,,"Department of Economics and Economic Hiostory, Rhodes Univesity, PO Box 94, Grahamstown, 6140"
African Security Review,1024-6029,2154-0128,UNISA Press
African Sociological Review,1027-4332,,"CODESRIA, Faculty of Humanities, Rhodes University, PO Box 94, Grahamstown, 6140, Email:  f.hendricks@ru.ac.za"
African Yearbook on International Humanitarian Law,1997-8391,,Juta&Co.               pvanaardt@juta.co.za                                                                                                 
Africa's Public Service Delivery & Performance Review,2310-2195,2310-2152,"AOSIS (PTY) Ltd                                                            Postnet Suite #110                                            Private Bag X19                                                                  Durbanville,Cape Town                                                          South Africa ,7550   "
Akroterion:Journal for the Classics in South Africa,0303-1896,2079-2883,"African Sun Media, Admin Building A, Ryneveld Street, Stellenbosch 7600. 0218082401.www.africansunmedia.co.za"
Alternation:Interdisciplinary Journal for the Study of the Arts and Humanities in Southern Africa  (Formerly International Journal for the Study of Southern African Literature and Languages),1023-1757,,CSSALL Publisher                           PO Box 1734                                     Wandsbeck                                        3631
Annals of the Ditsong National Museum of Natural History  (Annals  of the Transvaal Museum),2220-4563 ,,"P.O.Box 413                                                            Pretoria, 0001                                                              Tel:  012 322 7632                                                                           Fax: 012 322 7939                                                                    E-mail:annals@nfi.co.za; perregil@nfi.museum"
Architecture South Africa: Journal of the South African Insitute of Architects,1682-9387,,"Picasso Headline(Pty) Ltd                                                105-107                                                                       Hatfield Gardens                                                             Cape Town, 8001                                                                 Tel: 021 462 1023"
Bulletin of the National Library of South Africa (Former Quarterly Bulletin of the National Library of South Africa),2313-2590,,"NLSA Centre for the Book, P.O Box 15254, Vlaeberg, 8018"
Cardiovascular Journal of Africa,1995-1892                   ,1680-0745,"Clinics Cardiv Publishing Company (Pty)Ltd; PO Box 1013; Durbanville; 7550; Tel: 021 976 8129 Fax: 021 976 8129, email:cvjsa@cvjsa.co.za"
Child Abuse Research in South Africa (CARSA) (Child Abuse Research - A South African Journal),1562-1383,,"South African Professional Society on the Abuse of Children,                                                           P.O.Box 31334                                                         Totiusdal, 0134                                                     Tel:  012 332 0918                                                Fax: 012 332 0161"
Commonwealth Youth and Development,1727-7140,2663-6549,University of South Africa Press                                                         P O Box 392                                                             Pretoria                                                               0003                                                                                                                                                      Tel :012 429 6149                                              E-mail: rallpb@unisa.ac.za  
Communicare: Journal for Communication Studies in Africa. Formelry: Journal for Communication Sciences in Southern Africa,0259-0069,,"School of Communication, University of Johannesburg, PO Box 524"
Communicatio: South African Journal for Communication Theory and Research,0250-0167,1753-5379,Co-published by UNISA Press and Routledge                                                                                                                                  
Communitas:Journal for Community Communication and Information Impact,,2415-0525,Unit for Community Communication                                        Dept of Communication & Information Studies                                                                                University of the Free State                                                     PO Box 339                                                                Bloemfontein 9300 Email:dewetjc.hum@mail.uovs.ac.za
Concrete Beton Technical Journal (Formelry Concrete Beton),1682-6116,2521-8263,"Concrete Society of Southern Africa                                       P.O. Box 75364                                                          Lynnwood Ridge, 0040                                                        Tel:012 348 5305                                                                                                                            E-mail: ceo@concretesociety.co.za"
Constitutional Court Review (CCR),2073-6215,,"JUTA, 1st Floor, Suncalre Building, 21 Dreyer Street, Claremont 7780, Cape Town"
Critical Arts: A Journal of South-North Cultural and Media Studies,0256-0046,1992-6049,Co-published by Routledge and UNISA Press
Critical Studies In Teaching and Learning (CriSTal),2310-7103,,"University of the Western Cape ,Private Bag X17,Belville,Cape Town,7535.Allison Fullard,Deputy Director:UWC Library Service, 0129592923"
"Curationis: Research Journal of the Democratic Nursing Organisation of South Africa 
",0379-8577,2223-6279,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Current Allergy & Clinical Immunology ,1609-3607 ,,"Allergy Soc South Africa, PO Box 88, Observatory 7935, Cape Town"
Current Writing: Text and Reception,1013-929X,2159-9130,Routledge
De Arte,0004-3389,'2471-4100,Co-published by UNISA Press and Routledge   
De Jure,2225-7160,,Lexis Nexis 
Durban Museum Novitiates,0012-723X,,Durban Natural Sciences Museum                                       P.O. Box 4085                                                            Durban 4000                                                                Tel:  031 311 2240/1                                                       Fax: 031 311 2242                                                                 E-mail:redmang@crsu.durban.gov.za
Eastern African Literary and Cultural Studies,2327-7408,,"NISC (Pty) Ltd,                                               PO Box 377                                       Grahamstown                                                  6140                                                 journal@nisc.co.za"
Education As Change,1682-3206 ,1947-9417,"UNISA Press, PO Box 382, Unisa, Pretoria, 0003. Contact: Mr Pieter Rall: email rallpb@unisa.ac.za"
Education Research for Social Change (ERSC),2221-4070,,"NNMU Education Faculty, PO Box 7700, Port Elizabeth, 6000"
English Academy Review,1013-1752,1753-5360,Co-published by UNISA Press and Routledge                                                                                                                                  
English in Africa,0376-8902,,Institute for the Study of English in Africa (ISEA) - SA
English in Africa,0376-8902,,Institute for the Study of English in Africa (ISEA) - SA
Ensovoort,0257-2036,2616-7670,"Ensovoort Society                                      Posbus 3103, Dainfern, 2055"
Ergonomics SA,1010-2728,,"Ergonomics Society of South Africa,                                     Department of human Kinetics & Ergonomics                                                   Rhodes University                                                                P.O. Box 94                                                    Grahamstown, 6140"
Esarbica Journal,0376-4753,,National Archives and Records Service of South Africa                                                                         P/B X236                                                                     Pretoria 0001
Flowering Plants of Africa (The Flowering Plants of South Africa),0015-4504,,"South African National Biodiversity Insitute,                                                                 Private Bag X101                                                      Pretoria, 0001                                                                                                                                                                                                    Tel:  012 804 5000                                                          Fax: 012 804 3211"
French Studies in Southern Africa,0259-0247,,Association for French Studies in South Africa
Fundamina: a Journal of Legal History,2411-7870,,Juta & Co. Email: Pvanaardt@JUTA.CO.ZA
Gender Questions,2309-9704,2412-8457,University of South Africa Press                                                         P O Box 392                                                             Pretoria                                                               0003                                                                                                                                                      Tel :012 429 6149                                              E-mail: rallpb@unisa.ac.za  
Health SA Gesondheid: Journal of Interdisciplinary Health Sciences,1025-9848,2071-9736,University of Johannesburg
Historia: Journal of the Historical Association of South Africa,0018-229X                                ,,"The Historical Association of South Africa 
c/o Department of Historical and Heritage Studies 
University of Pretoria 
Private bag X20 Hatfield
Pretoria 
0028 

"
HTS Theological Studies/ Teologiese Studies                                                                ,0259-9422                   ,2072-8050,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Image and Text,2617-3255,,"Department of Visual Arts                                                      University of Pretoria, 0002                                       Tel:012 420 2353                                                                   Fax:012 420 3686                                                                E-mail: image.text@up.ac.za"
Imbizo: International Journal of African Literary and Comparative Studies,2078-9785,2663-6565,University of South Africa Press                                                         P O Box 392                                                             Pretoria                                                               0003                                                                               Tell :012 429 6149
In die Skriflig/In Luce Verbi,1018-6441,2305-0853,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Indago: ( Formelry Navorsinge van die Nasionale Museum Bloemfontein),0067-9208,,"National Museum                                                          P.O. Box 266                                                     Bloemfontein, 9300                                                                E-mail: library@nasmus.co.za"
Indilinga: African Journal of Indigenous Knowledge Systems,1683-0296,,"Pinetown Printers                                                                       16 Ivy Road                                                                     Pinetown, 3610"
Indo-Pacific Journal of Phenomenology,1445-7377,,c/o Department of Psychology                                 University of Johannesburg                        Auckland Park                                               Johannesburg                                                    2006
Industrial Law Journal including Industrial Law Reports,0258-249X,,"Industrial Law Journal, Center for Applied Legal Studies,                                                                    University of Witwatersrand                             Johannesburg, 2000                                                Published by Juta Law                                                          P.O. Box 24299, Lansdowne, 7779"
Innovation: A Journal for Appropriate Librarianship and Information Work in Southern Africa,1025-8892,,University of KwaZulu-Natal                                                        Private Bag X014                                                        Scottville                                            Pietermaritzburg; 3209
