Journal title,ISSN,eISSN,Publisher details
Abacus,0001-3072,Blackwell Publishing Ltd.,United Kingdom
Abhigyan,0970-2385,Foundation for Organizational Research and Education (FORE),India
Academia,1012-8255,Emerald Group Publishing Limited,United Kingdom
Academy of Management Journal,0001-4273,Academy of Management,United States
"Academy of Management Perspectives, The",1558-9080,Academy of Management,United States
Academy of Management. The Academy of Management Review,0363-7425,Academy of Management,United States
Accounting and Business Research,0001-4788,Taylor & Francis Ltd.,United Kingdom
Accounting History Review,2155-2851,Taylor & Francis Ltd.,United Kingdom
Accounting Horizons,0888-7993,American Accounting Association,United States
"Accounting Review, The",0001-4826,American Accounting Association,United States
"Accounting, Auditing & Accountability Journal",0951-3574,Emerald Group Publishing Limited,United Kingdom
Acme,1492-9732,University of British Columbia Okanagan Campus,Canada
Acta Borealia,0800-3831,Taylor & Francis Ltd.,United Kingdom
Acta Histriae,1318-0185,"Znanstveno Raziskovalno Sredisce Republike Slovenije, Univerza na Primorskem",Slovenia
Acta Medicinae et Sociologica,2062-0284,University of Debrecen,Hungary
Acta Politica,0001-6810,Palgrave Macmillan,United Kingdom
Acta Sociologica,0001-6993,Sage Publications Ltd.,United Kingdom
Acta Universitatis Danubius. Juridica,1844-8062,Universitatea Danubius Galati,Romania
Acta Universitatis Danubius. Oeconomica,2065-0175,Universitatea Danubius Galati,Romania
Actes de la Recherche en Sciences Sociales,0335-5322,CAIRN,France
ADAM AKADEMİ Sosyal Bilimler Dergisi = Adam Academy Journal of Social Science,2146-4936,Ankara Center for Thought and Research-ADAM,Turkey
Addiction,0965-2140,Blackwell Publishing Ltd.,United Kingdom
Administration & Society,0095-3997,"SAGE PUBLICATIONS, INC.",United States
Administrative Science Quarterly,0001-8392,"SAGE PUBLICATIONS, INC.",United States
Africa,0001-9720,Cambridge University Press,United Kingdom
Africa,2612-3258,Viella Libreria Editrice,Italy
Africa Education Review,1814-6627,Taylor & Francis Ltd.,United Kingdom
Africa Today,0001-9887,Indiana University Press,United States
Africagrowth Agenda,1811-5187,Africagrowth Institute,South Africa
African Conflict and Peacebuilding Review,2156-695X,Indiana University Press,United States
African Development Review,1017-6772,Blackwell Publishing Ltd.,United Kingdom
"African Finance Journal, The",1605-9786,African Finance Association,South Africa
African Historical Review,1753-2523,Taylor & Francis Ltd.,United Kingdom
African Human Rights Law Journal,1609-073X,University of Pretoria,South Africa
African Identities,1472-5843,Taylor & Francis Ltd.,United Kingdom
African Journal of AIDS Research,1608-5906,Taylor & Francis Ltd.,United Kingdom
African Journal of Business and Economic Research,1750-4554,Adonis & Abbey Publishers Ltd,United Kingdom
African Journal of Business Ethics,1817-7417,Business Ethics Network (BEN) Africa,South Africa
African Journal of Development Studies,2634-3630,Adonis & Abbey Publishers Ltd,United Kingdom
African Journal of Economic and Management Studies,2040-0705,Emerald Group Publishing Limited,United Kingdom
"African Journal of Gender, Society & Development",2634-3614,Adonis & Abbey Publishers Ltd,United Kingdom
African Journal of Governance & Development,2218-5615,University of KwaZulu-Natal,South Africa
"African Journal of Information Systems, The",1936-0282,Kennesaw State University,United States
African Journal of Innovation and Entrepreneurship (AJIE),2753-3131,Adonis & Abbey Publishers Ltd,United Kingdom
African Journal of Inter/Multidisciplinary Studies,2663-4589,Durban University of Technology,
African Journal of Law and Justice System,2753-3115,Adonis & Abbey Publishers Ltd,United Kingdom
African Journal of Legal Studies (Online),1708-7384,Africa Law Institute,Canada
African Journal of Peace and Conflict Studies,2634-3657,Adonis & Abbey Publishers Ltd,United Kingdom
African Journal of Public Administration and Environmental Studies (AJOPAES),2753-3174,Adonis & Abbey Publishers Ltd,United Kingdom
African Perspectives of Research in Teaching and Learning,2521-0262,"University of Limpopo, Centre for Academic Excellence (CAE)",South Africa
African Renaissance,1744-2532,Adonis & Abbey Publishers Ltd,United Kingdom
African Studies,0002-0184,Taylor & Francis Ltd.,United Kingdom
African Studies Quarterly,2152-2448,African Studies Quarterly,United States
African Studies Review,0002-0206,Cambridge University Press,United Kingdom
Afrika Spectrum,0002-0397,Sage Publications Ltd.,United Kingdom
Ageing and Society,0144-686X,Cambridge University Press,United Kingdom
Agenda : a Journal About Women and Gender,1013-0950,Taylor & Francis Ltd.,United Kingdom
Aging & Mental Health,1360-7863,Taylor & Francis Ltd.,United Kingdom
Agrekon,0303-1853,Taylor & Francis Ltd.,United Kingdom
Agricultural History,0002-1482,"Duke University Press, NC & IL",United States
AIDS Care,0954-0121,Taylor & Francis Ltd.,United Kingdom
AIDS Education and Prevention,0899-9546,Guilford Press,United States
Akademika,0126-5008,Universiti Kebangsaan Malaysia,Malaysia
Akdeniz İİBF Dergisi,1302-9975,"Akdeniz University, Faculty of Economics and Administrative Sciences",Turkey
Al- Arabiyya,0889-8731,Georgetown University Press,United States
Alternatives,0304-3754,"SAGE PUBLICATIONS, INC.",United States
Ambiente & Sociedade,1414-753X,"Associação Nacional de Pós-Graduação e Pesquisa em Ambiente e Sociedade, Revista Ambiente & Sociedade",Brazil
American Anthropologist,0002-7294,Blackwell Publishing Ltd.,United Kingdom
"American Behavioral Scientist, The",0002-7642,"SAGE PUBLICATIONS, INC.",United States
American Communist History,1474-3892,Taylor & Francis Ltd.,United Kingdom
American Ethnologist,0094-0496,"Wiley Subscription Services, Inc.",United States
"American Historical Review, The",0002-8762,Oxford University Press,United Kingdom
American Journal of Agricultural Economics,0002-9092,Blackwell Publishing Ltd.,United Kingdom
American Journal of Biological Anthropology,2692-7691,"Wiley Subscription Services, Inc.",United States
American Journal of Comparative Law,0002-919X,American Society of Comparative Law,United States
"American Journal of Economics and Sociology, The",0002-9246,Blackwell Publishing Ltd.,United Kingdom
"American Journal of International Law, The",0002-9300,Cambridge University Press,United Kingdom
American Journal of Political Science,0092-5853,Blackwell Publishing Ltd.,United Kingdom
American Journal of Primatology,0275-2565,"Wiley Subscription Services, Inc.",United States
"American Journal of Sociology, The",0002-9602,"University of Chicago, acting through its Press",United States
American Philosophical Quarterly,0003-0481,Blackwell Publishers,United Kingdom
American Planning Association. Journal of the American Planning Association,0194-4363,Taylor & Francis Inc.,United States
"American Political Science Review, The",0003-0554,Cambridge University Press,United Kingdom
American Politics Research,1532-673X,"SAGE PUBLICATIONS, INC.",United States
"American Psychologist, The",0003-066X,American Psychological Association,United States
"American Review of Canadian Studies, The",0272-2011,Taylor & Francis Inc.,United States
American Sociological Review,0003-1224,American Sociological Association,United States
American Studies,0026-3079,Mid-America American Studies Association,United States
Ameryka Łacińska,1506-8900,"Uniwersytet Warszawski, Centrum Studiów Latynoamerykanskich",Poland
Amfiteatru Economic,1582-9146,"Bucharest Academy of Economic Studies, Faculty of Commerce",Romania
"Analele Universitatii ""Constantin Brancusi"" din Targu Jiu. Serie Litere si Stiinte Sociale",1844-6051,University Constantin Brancusi of Târgu-Jiu,Romania
Anàlisi : Quaderns de Comunicació i Cultura,0211-2175,"Universitat Autonoma de Barcelona, Servei de Publicacions",Spain
Analyse und Kritik,0171-5860,Walter de Gruyter GmbH,Germany
Anarchist Studies,0967-3393,Lawrence & Wishart,United Kingdom
Ancient Mesoamerica,0956-5361,Cambridge University Press,United Kingdom
"Annales : Histoire, Sciences Sociales",0395-2649,Cambridge University Press,United Kingdom
Annales de Géographie,0003-4010,CAIRN,France
Annales Missiologici Posnanienses,1731-6170,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydzial Teologiczny",Poland
Annals of Anthropological Practice,2153-957X,"Wiley Subscription Services, Inc.",United States
Annals of Economics and Finance,1529-7373,Peking University Press,China
Annals of Financial Economics,2010-4952,"World Scientific Publishing Co. Pte., Ltd.",Singapore
Annals of Public and Cooperative Economics,1370-4788,Blackwell Publishing Ltd.,United Kingdom
"Annals of Regional Science, The",0570-1864,Springer Nature B.V.,Netherlands
Annals of the American Academy of Political and Social Science,0002-7162,"SAGE PUBLICATIONS, INC.",United States
Annals of the American Association of Geographers,2469-4452,Taylor & Francis Ltd.,United Kingdom
Annual Review of Anthropology,0084-6570,"Annual Reviews, Inc.",United States
Annual Review of Political Science,1094-2939,"Annual Reviews, Inc.",United States
Annual Review of Psychology,0066-4308,"Annual Reviews, Inc.",United States
Annual Review of Sociology,0360-0572,"Annual Reviews, Inc.",United States
Anthropological Forum,0066-4677,Taylor & Francis Ltd.,United Kingdom
Anthropological Journal of European Cultures,1755-2923,"Berghahn Books, Inc.",United States
Anthropological Notebooks,1408-032X,Slovene Anthropological Society,Slovenia
Anthropological Papers of the American Museum of Natural History,0065-9452,American Museum of Natural History,United States
Anthropological Science,0918-7960,Japan Science and Technology Agency,Japan
Anthropological Theory,1463-4996,Sage Publications Ltd.,United Kingdom
Anthropologie,0323-1119,"Moravian Museum, Anthropos Institute",Czech Republic
Anthropologie et Sociétés,0702-8997,Universite Laval,Canada
Anthropology & Medicine,1364-8470,Taylor & Francis Ltd.,United Kingdom
Anthropology and Education Quarterly,0161-7761,Blackwell Publishing Ltd.,United Kingdom
Anthropology and Humanism,1559-9167,"Wiley Subscription Services, Inc.",United States
Anthropology in Action,0967-201X,"Berghahn Books, Inc.",United States
Anthropology Now,1942-8200,Taylor & Francis Ltd.,United Kingdom
Anthropology of the Middle East,1746-0719,"Berghahn Books, Inc.",United States
Anthropology of Work Review,0883-024X,"Wiley Subscription Services, Inc.",United States
Anthropology Southern Africa,2332-3256,Taylor & Francis Ltd.,United Kingdom
Anthropology Today,0268-540X,Blackwell Publishing Ltd.,United Kingdom
Anthropos,0257-9774,"Editions Saint-Paul, Anthropos Institut",Switzerland
Antípoda : Revista de Antropología y Arqueología,1900-5407,"Universidad de Los Andes, UNIANDES Journals (Revistas UNIANDES)",Colombia
Antipode,0066-4812,"Wiley Subscription Services, Inc.",United States
