Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Publisher,Agreement Duration
2D Materials,2053-1583,Hybrid OA,Y,,IOP,2023-2025
Plasma Science and Technology,2516-1067,Not Applicable,N,Subscription only,IOP,2023-2025
Advances in Natural Sciences: Nanoscience and Nanotechnology,2043-6262,Not applicable,N,Subscription only,IOP,2023-2025
Biofabrication,1758-5090,Hybrid OA,Y,,IOP,2023-2025
Bioinspiration & Biomimetics,1748-3190,Hybrid OA,Y,,IOP,2023-2025
Biomedical Materials,1748-605X,Hybrid OA,Y,,IOP,2023-2025
Biomedical Physics & Engineering Express,2057-1976,Hybrid OA,Y,,IOP,2023-2025
Applied Physics Express,1882-0786,Gold OA,Y,,IOP,2023-2025
Chinese Physics C,2058-6132,Hybrid OA,Y,,IOP,2023-2025
Chinese Physics B,2058-3834,Not applicable,N,Subscription only,IOP,2023-2025
Classical and Quantum Gravity,1361-6382,Hybrid OA,Y,,IOP,2023-2025
Chinese Physics Letters,1741-3540,Not applicable,N,Subscription only,IOP,2023-2025
Communications in Theoretical Physics,1572-9494,Not applicable,N,Subscription only,IOP,2023-2025
ECS Journal of Solid State Science and Technology,162-8777,Hybrid OA,Y,,IOP,2023-2025
ECS Advances,2754-2734,Gold OA,Y,,IOP,2023-2025
ECS Meeting Abstracts,2151-2043,Not applicable,N,Subscription only,IOP,2023-2025
ECS Sensors Plus,2754-2726,Gold OA,Y,,IOP,2023-2025
Electronic Structure,2516-1075,Hybrid OA,Y,,IOP,2023-2025
Engineering Research Express,2631-8695,Hybrid OA,Y,,IOP,2023-2025
ECS Transactions, 1938-6737,Not applicable,N,Subscription only,IOP,2023-2025
Environmental Research Communications,2515-7620,Gold OA,Y,,IOP,2023-2025
Environmental Research Letters,1748-9326,Gold OA,Y,,IOP,2023-2025
Environmental Research: Climate,2752-5295,Gold OA,Y,,IOP,2023-2025
Environmental Research: Ecology,2752-664X,Gold OA,Y,,IOP,2023-2025
Environmental Research: Energy, 2753-3751,Gold OA,Y,,IOP,2023-2025
Environmental Research: Food Systems, 2976-601X,Gold OA,Y,,IOP,2023-2025
Environmental Research: Health,2752-5309,Gold OA,Y,,IOP,2023-2025
European Journal of Physics,1361-6404,Hybrid OA,Y,,IOP,2023-2025
EPL (Europhysics Letters),1286-4854,Hybrid OA,Y,,IOP,2023-2025
Flexible and Printed Electronics,2058-8585,Hybrid OA,Y,,IOP,2023-2025
Fluid Dynamics Research,1873-7005,Hybrid OA,Y,,IOP,2023-2025
Functional Composites and Structures,2631-6331,Hybrid OA,Y,,IOP,2023-2025
Environmental Research: Infrastructure and Sustainability,2631-7990,Gold OA,Y,,IOP,2023-2025
Inverse Problems,1361-6420,Hybrid OA,Y,,IOP,2023-2025
Journal of Instrumentation,1748-0221,Hybrid OA,Y,,IOP,2023-2025
Journal of Micromechanics and Microengineering,1361-6439,Hybrid OA,Y,,IOP,2023-2025
Journal of Neural Engineering,1741-2552,Hybrid OA,Y,,IOP,2023-2025
Journal of Optics,2040-8986,Hybrid OA,Y,,IOP,2023-2025
Journal of Physics A: Mathematical and Theoretical,1751-8121,Hybrid OA,Y,,IOP,2023-2025
"Journal of Physics B: Atomic, Molecular and Optical Physics",1361-6455,Hybrid OA,Y,,IOP,2023-2025
Journal of Physics D: Applied Physics,1361-6463,Hybrid OA,Y,,IOP,2023-2025
International Journal of Extreme Manufacturing,2631-7990,Gold OA,Y,,IOP,2023-2025
Journal of Physics G: Nuclear and Particle Physics,1361-6471,Hybrid OA,Y,,IOP,2023-2025
Journal of Physics Communications,2399-6528,Gold OA,Y,,IOP,2023-2025
IOP Conference Series: Earth and Environmental Science,1755-1315,Gold OA,Y,,IOP,2023-2025
IOP Conference Series: Materials Science and Engineering,1757-899X,Gold OA,Y,,IOP,2023-2025
Japanese Journal of Applied Physics,1347-4065,Hybrid OA,Y,,IOP,2023-2025
Journal of Breath Research,1752-7163,Hybrid OA,Y,,IOP,2023-2025
Journal of Cosmology and Astroparticle Physics,1475-7516,Hybrid OA,Y,,IOP,2023-2025
Izvestiya: Mathematics,1468-4810,Not applicable,N,Subscription only,IOP,2023-2025
Journal of Physics: Condensed Matter,1361-648X,Hybrid OA,Y,,IOP,2023-2025
Journal of Physics: Complexity,2632-072X,Gold OA,Y,,IOP,2023-2025
Journal of Physics: Conference Series,1742-6596,Gold OA,Y,,IOP,2023-2025
Journal of Physics: Energy,2515-7655,Gold OA,Y,,IOP,2023-2025
Journal of Physics: Materials,2515-7639,Gold OA,Y,,IOP,2023-2025
