JOURNAL TITLE                                      (Previous title if applicable)	ISSN (Online)	'FREQUENCY	DATE OF LAST REVIEW OR ACCREDITATION	PUBLISHER'S DETAILS	DATE OF LAST REVIEW OR ACCREDITATION	Reason		ISSN	EDITOR'S DETAILS    (when available)
Cabo		'Annually	Reviewed 2009 (Removed 2011)	Historical Society of Cape Town,                                         P.O. Box 157                                                           Newlands                                                                            7735	Reviewed 2009 (Removed 2011)	Policy requirements not met		0379-4830	
JOURNALS REMOVED IN 2012									
JOURNAL TITLE    (Previous title if applicable)	ISSN (Online)	'FREQUENCY	DATE OF LAST REVIEW OR ACCREDITATION	PUBLISHER'S DETAILS	DATE OF LAST REVIEW OR ACCREDITATION	Reason		ISSN	EDITOR'S DETAILS    (when available)
									
JOURNALS REMOVED IN 2013									
JOURNAL TITLE  (Previous title if applicable)	ISSN (Online)	'FREQUENCY	DATE OF LAST REVIEW OR ACCREDITATION	PUBLISHER'S DETAILS	DATE OF LAST REVIEW OR ACCREDITATION	Reason		ISSN	EDITOR'S DETAILS   (when available)
Art South Africa			Reviewed 2012 and Removed 2013	Art SA	Reviewed 2012 and Removed 2013	Does not meet some of the requirements of the Policy		1684-6133	Prof Law-Viljoen
Africanus: Journal of Development Studies			Reviewed 2012 and Removed 2013	UNISA Press	Reviewed 2012 and Removed 2013	Does not meet some of the requirements of the Policy		0304-615x	Dr du Plessis
JOURNALS REMOVED IN 2014									
JOURNAL TITLE   (Previous title if applicable)	ISSN (Online)	'FREQUENCY	DATE OF LAST REVIEW OR ACCREDITATION	PUBLISHER'S DETAILS	DATE OF LAST REVIEW OR ACCREDITATION	Reason		ISSN	EDITOR'S DETAILS      (when available)
Slavic Almanac:The South African year book for Slavic,Central and East European Studies (Slavic Almanach)		'Biannually	Reviewed in 2010                                                                           	UNISA Press	Reviewed in 2010                                                                           	Unisa will no longer offer tution in the field of Russian or Eastern European Studies as from 2015		'1025-3386	Agata Krzychylkiewicz, University of South Africa  
									
Journal of the Mine Ventilation Society of South Africa		Quarterly	Reviewed in 2014	Mine Ventilation Society of South Africa                                           P.O. Box 93480                                                              Yeoville, 2143                                                                                E-mail:  minevent@global.co.za; http://www.home.global.co.za/~minevent	Reviewed in 2014	Does not meet some of the requirements of the Policy		0368-3206	Prof M Eng
