Journal title,ISSN,eISSN,Publisher details,Publisher details2,Country of Publication,Language,Web Address
Anesthesiology,0003-3022,1528-1175,Lippincott Williams & Wilkins,American Society of Anesthesiologists (ASA),United States,English,https://pubs.asahq.org/anesthesiology
British Journal of Anaesthesia,0007-0912,1471-6771,Elsevier,,United Kingdom,English,https://www.journals.elsevier.com/british-journal-of-anaesthesia
Critical Care,1364-8535,1466-609X,Springer Nature,,United Kingdom,English,https://ccforum.biomedcentral.com/
Critical Care Medicine,0090-3493,1530-0293,Lippincott Williams & Wilkins,,United States,English,https://journals.lww.com/ccmjournal/pages/default.aspx
Intensive Care Medicine,0342-4642,1432-1238,Springer,,Germany,English,https://www.springer.com/journal/134
Resuscitation,0300-9572,1873-1570,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/resuscitation
Acta Physiologica,1748-1708,1748-1716,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/17481716
Allergy. European Journal of Allergy and Clinical Immunology,0105-4538,1398-9995,Munksgaard Forlag,,Denmark,,http://www.wiley.com/bw/journal.asp?ref=0105-4538
American Journal of Human Genetics,0002-9297,1537-6605,,University of Chicago Press,United States,,http://www.cell.com/ajhg/home
American Journal of Pathology,0002-9440,1525-2191,,HighWire Press,United States,,http://ajp.amjpathol.org/
American Journal of Physiology. Heart and Circulatory Physiology,0363-6135,1522-1539,,HighWire Press,United States,English,http://ajpheart.physiology.org/
American Journal of Physiology. Regulatory Integrative and Comparative Physiology,0363-6119,1522-1490,,HighWire Press,United States,English,http://ajpregu.physiology.org/
American Journal of Surgical Pathology,0147-5185,1532-0979,,Lippincott Williams & Wilkins,United States,,https://journals.lww.com/ajsp
Antioxidants and Redox Signaling,1523-0864,1557-7716,,"Mary Ann Liebert, Inc.",United States,,http://www.liebertpub.com/publication.aspx?pub_id=4
Autophagy,1554-8627,1554-8635,Taylor & Francis,,United States,English,https://www.tandfonline.com/journals/kaup20
"Brain, Behavior, and Immunity",0889-1591,1090-2139,Elsevier,,United States,English,https://www.sciencedirect.com/journal/brain-behavior-and-immunity
Cell,0092-8674,1097-4172,,Cell Press,United States,,http://www.cell.com/
Cell Death and Differentiation,1350-9047,1476-5403,Nature Portfolio,,United Kingdom,,http://www.nature.com/cdd/index.html
Cell Host and Microbe,1931-3128,1934-6069,,Cell Press,United States,English,http://www.cell.com/cell-host-microbe/home
Cell reports,,2211-1247,,Cell Press,United States,English,http://cellreports.cell.com/
