Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Environmental Toxicology and Chemistry,1552-8618,Hybrid,Yes,,"Life Science, Maths and Physical Sciences, STM",OUP,2025-2027
Integrated Environmental Assessment and Management,1551-3793,Hybrid,yes,,"Life Science, Maths and Physical Sciences, STM",OUP,2025-2027
Journal of Aquatic Animal Health,1548-8667,Hybrid,yes,,"Life Science, STM",OUP,2025-2027
North American Journal of Aquaculture,1548-8454,Hybrid,Yes,,"Life Science, STM",OUP,2025-2027
North American Journal of Fisheries Management,1548-8675,Hybrid,Yes,,"Life Science, STM",OUP,2025-2027
Transactions of the American Fisheries Society,1548-8659,Hybrid,Yes,,"Life Science, STM",OUP,2025-2027
Adaptation,1755-0645,Hybrid,yes,,"HSS, Humanities",OUP,2025-2027
Annals of the International Communication Association,2380-8977,Hybrid,Yes,,"Social Science, HSS",OUP,2025-2027
AJE Advances: Research in Epidemiology,2977-0548,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Bioinformatics,1460-2059,Gold OA,No,Discounted ,"Life Sciences, Mathematics & Physical Sciences, STM, Open Access",OUP,2025-2027
Bioinformatics Advances,2635-0041,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Environmental Endocrinology,3049-7442,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
European Heart Journal - Imaging Methods and Practice,2755-9637,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
European Heart Journal Open,2752-4191,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Evolutionary Journal of the Linnean Society,2752-938X,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
FEMS Microbes,2633-6685,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Function,2633-8823,Gold OA,No,Discounted ,Life Sciences,OUP,2025-2027
Global Studies Quarterly,2634-3797,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
ImmunoHorizons,2573-7732,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
International Journal of Food Science and Technology,1365-2621,Gold OA,No,Discounted ,Life Science ,OUP,2025-2027
Journal of Radiation Research,1349-9157,Gold OA,No,Discounted ,Open Access,OUP,2025-2027
Journal of Sickle Cell Disease,3029-0473,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Journal of Surgical Protocols and Research Methodologies,2752-616X,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Marine and Coastal Fisheries,1942-5120,Gold OA,No,Discounted ,Life Science,OUP,2025-2027
Obesity and Endocrinology,3033-3563,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Oxford Open Economics,2752-5074,Gold OA,No,Discounted ,Open Access,OUP,2025-2027
RAS Techniques and Instruments,2752-8200,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
RPS Pharmacy and Pharmacology Reports,2754-5849,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Sexual Medicine,2050-1161,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Skin Health and Disease,2690-442X,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Sustainable Microbiology,2755-1970,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Biometrics,1541-0420,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
British Journal of Radiology,1748-880X,Hybrid,yes,,Medicine,OUP,2025-2027
Bulletin of the Chemical Society of Japan,1348-0634,Hybrid,Yes,,Science & Mathematics,OUP,2025-2027
Chemistry Letters,1348-0715,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Dentomaxillofacial Radiology,1476-542X,Hybrid,yes,,Medicine,OUP,2025-2027
European Journal of Endocrinology,1479-683X,Hybrid,Yes,,"Medicine, Science & Mathematics",OUP,2025-2027
European Journal of Preventive Cardiology,2047-4881,Hybrid,yes,,Medicine,OUP,2025-2027
Evolution,1558-5646,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Information and Inference: a journal of the IMA,2049-8772,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Insect Systematics and Diversity,2399-3421,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Integrative And Comparative Biology,1557-7023,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Integrative Biology,1757-9708,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Interacting with Computers,1873-7951,Hybrid,yes,,"Humanities, Science & Mathematics",OUP,2025-2027
International Affairs,1468-2346,Hybrid,yes,,Social Sciences,OUP,2025-2027
International Data Privacy Law,2044-4001,Hybrid,yes,,Law,OUP,2025-2027
International Immunology,1460-2377,Hybrid,yes,,"Medicine, Science & Mathematics",OUP,2025-2027
International Journal For Quality In Health Care,1464-3677,Hybrid,yes,,Medicine,OUP,2025-2027
International Journal Of Constitutional Law,1474-2659,Hybrid,yes,,Law,OUP,2025-2027
International Journal Of Epidemiology,1464-3685,Hybrid,yes,,Medicine,OUP,2025-2027
International Journal Of Law And Information Technology,1464-3693,Hybrid,yes,,Law,OUP,2025-2027
"International Journal Of Law, Policy And The Family",1464-3707,Hybrid,yes,,"Law, Social Sciences",OUP,2025-2027
International Journal Of Lexicography,1477-4577,Hybrid,yes,,Humanities,OUP,2025-2027
International Journal of Pharmacy Practice,2042-7174,Hybrid,yes,,Medicine,OUP,2025-2027
International Journal Of Public Opinion Research,1471-6909,Hybrid,yes,,Social Sciences,OUP,2025-2027
International Journal Of Refugee Law,1464-3715,Hybrid,yes,,Law,OUP,2025-2027
International Journal Of Transitional Justice,1752-7724,Hybrid,yes,,"Law, Social Sciences",OUP,2025-2027
International Mathematics Research Notices,1687-0247,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
International Political Sociology,1749-5687,Hybrid,yes,,Social Sciences,OUP,2025-2027
International Relations Of The Asia-pacific,1470-4838,Hybrid,yes,,Social Sciences,OUP,2025-2027
International Studies Perspectives,1528-3585,Hybrid,yes,,Social Sciences,OUP,2025-2027
International Studies Quarterly,1468-2478,Hybrid,yes,,Social Sciences,OUP,2025-2027
International Studies Review,1468-2486,Hybrid,yes,,Social Sciences,OUP,2025-2027
ISLE: Interdisciplinary Studies in Literature and Environment,1759-1090,Hybrid,yes,,Humanities,OUP,2025-2027
