Journal	eISSN	Open Access Status	Included in R&P agreement	Explanation if not included	Publisher	Agreement Duration
Biology Letters	1744-957X	Hybrid OA	YES		Royal Society	2025-2027
Interface Focus	2042-8901	Hybrid OA	YES		Royal Society	2025-2027
Journal of the Royal Society Interface	1742-5662	Hybrid OA	YES		Royal Society	2025-2027
Notes and Records	1743-0178	Hybrid OA	YES		Royal Society	2025-2027
Open Biology	2046-2441	Gold OA	YES		Royal Society	2025-2027
Philosophical Transactions A	1471-2962	Hybrid OA	YES		Royal Society	2025-2027
Philosophical Transactions B	1471-2970	Hybrid OA	YES		Royal Society	2025-2027
Proceedings A	1471-2946	Hybrid OA	YES		Royal Society	2025-2027
Proceedings B	1471-2954	Hybrid OA	YES		Royal Society	2025-2027
Royal Society Open Science	2054-5703	Gold OA	YES		Royal Society	2025-2027
