Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Compensation & Benefits Review,1552-3837,Hybrid,Y,,Business & Management,SAGE,2025-2027
American Behavioral Scientist,1552-3381,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Urban Affairs Review,1552-8332,Hybrid,Y,,"Geography, Earth & Environmental Science",SAGE,2025-2027
Comparative Political Studies,1552-3829,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Administration & Society,1552-3039,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Environment and Behavior,1552-390X,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Simulation & Gaming,1552-826X,Hybrid,Y,,Science & Society Studies,SAGE,2025-2027
Education and Urban Society,1552-3535,Hybrid,Y,,Education,SAGE,2025-2027
Urban Education,1552-8340,Hybrid,Y,,Education,SAGE,2025-2027
Small Group Research,1552-8278,Hybrid,Y,,Business & Management,SAGE,2025-2027
Youth & Society,1552-8499,Hybrid,Y,,Sociology,SAGE,2025-2027
Journal of Black Studies,1552-4566,Hybrid,Y,,Area & Ethnic Studies,SAGE,2025-2027
Economic Development Quarterly,1552-3543,Hybrid,Y,,Economics & Development Studies,SAGE,2025-2027
Gender & Society,1552-3977,Hybrid,Y,,Sociology,SAGE,2025-2027
Management Communication Quarterly,1552-6798,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Contemporary Ethnography,1552-5414,Hybrid,Y,,Sociology,SAGE,2025-2027
Sociological Methods & Research,1552-8294,Hybrid,Y,,Research Methods & Evaluation,SAGE,2025-2027
Journal of Conflict Resolution,1552-8766,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
American Politics Research,1552-3373,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Political Theory,1552-7476,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Public Finance Review,1552-7530,Hybrid,Y,,Economics & Development Studies,SAGE,2025-2027
Journal of Cross-Cultural Psychology,1552-5422,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Communication Research,1552-3810,Hybrid,Y,,Communication & Media Studies,SAGE,2025-2027
Work and Occupations,1552-8464,Hybrid,Y,,Sociology,SAGE,2025-2027
China Report,0973-063X,Hybrid,Y,,Area & Ethnic Studies,SAGE,2025-2027
Studies in History,0973-080X,Hybrid,Y,,History,SAGE,2025-2027
Criminal Justice and Behavior,1552-3594,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Affilia,1552-3020,Hybrid,Y,,Sociology,SAGE,2025-2027
Journal of Aging and Health,1552-6887,Hybrid,Y,,Aging & Gerontology,SAGE,2025-2027
"Science, Technology, & Human Values",1552-8251,Hybrid,Y,,Science & Society Studies,SAGE,2025-2027
Journal of Interpersonal Violence,1552-6518,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
International Studies,0973-0702,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Journal of Urban History,1552-6771,Hybrid,Y,,History,SAGE,2025-2027
Modern China,1552-6836,Hybrid,Y,,Area & Ethnic Studies,SAGE,2025-2027
Behavior Modification,1552-4167,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Evaluation Review,1552-3926,Hybrid,Y,,Research Methods & Evaluation,SAGE,2025-2027
Psychology and Developing Societies,0973-0761,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Hispanic Journal of Behavioral Sciences,1552-6364,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Journal of Adolescent Research,1552-6895,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Evaluation & the Health Professions,1552-3918,Hybrid,Y,,Public Health,SAGE,2025-2027
The Journal of Early Adolescence,1552-5449,Hybrid,Y,,Sociology,SAGE,2025-2027
Research on Aging,1552-7573,Hybrid,Y,,Aging & Gerontology,SAGE,2025-2027
Science Communication,1552-8545,Hybrid,Y,,Communication & Media Studies,SAGE,2025-2027
Philosophy of the Social Sciences,1552-7441,Hybrid,Y,,Arts & Humanities,SAGE,2025-2027
Personality and Social Psychology Bulletin,1552-7433,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Qualitative Health Research,1552-7557,Hybrid,Y,,Other Health Specialties,SAGE,2025-2027
Journal of Family Issues,1552-5481,Hybrid,Y,,Sociology,SAGE,2025-2027
Journal of Humanistic Psychology,1552-650X,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Group & Organization Management,1552-3993,Hybrid,Y,,Business & Management,SAGE,2025-2027
Educational Administration Quarterly,1552-3519,Hybrid,Y,,Education,SAGE,2025-2027
The Indian Economic and Social History Review,0973-0893,Hybrid,Y,,Area & Ethnic Studies,SAGE,2025-2027
Latin American Perspectives,1552-678X,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Contributions to Indian Sociology,0973-0648,Hybrid,Y,,Sociology,SAGE,2025-2027
Written Communication,1552-8472,Hybrid,Y,,Communication & Media Studies,SAGE,2025-2027
Crime & Delinquency,1552-387X,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Journal of Research in Crime and Delinquency,1552-731X,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
The Counseling Psychologist,1552-3861,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Western Journal of Nursing Research,1552-8456,Hybrid,Y,,Nursing,SAGE,2025-2027
Journal of Applied Gerontology,1552-4523,Hybrid,Y,,Aging & Gerontology,SAGE,2025-2027
Research on Social Work Practice,1552-7581,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Journal of Business and Technical Communication,1552-4574,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Planning Literature,1552-6593,Hybrid,Y,,"Geography, Earth & Environmental Science",SAGE,2025-2027
Educational Policy,1552-3896,Hybrid,Y,,Education,SAGE,2025-2027
Journal of Management Education,1552-6658,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Management Inquiry,1552-6542,Hybrid,Y,,Business & Management,SAGE,2025-2027
The Journal of Applied Behavioral Science,1552-6879,Hybrid,Y,,Business & Management,SAGE,2025-2027
Clinical Nursing Research,1552-3799,Hybrid,Y,,Nursing,SAGE,2025-2027
Journal of Holistic Nursing,1552-5724,Hybrid,Y,,Other Health Specialties,SAGE,2025-2027
Politics & Society,1552-7514,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
The ANNALS of the American Academy of Political and Social Science,1552-3349,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
The Journal of Entrepreneurship,0973-0745,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Black Psychology,1552-4558,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Journal of Language and Social Psychology,1552-6526,Hybrid,Y,,Language & Linguistics,SAGE,2025-2027
The Prison Journal,1552-7522,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Cross-Cultural Research,1552-3578,Hybrid,Y,,Sociology,SAGE,2025-2027
Indian Journal of Gender Studies,0973-0672,Hybrid,Y,,Sociology,SAGE,2025-2027
Business & Society,1552-4205,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Sport and Social Issues,1552-7638,Hybrid,Y,,Sociology,SAGE,2025-2027
Educational and Psychological Measurement,1552-3888,Hybrid,Y,,Research Methods & Evaluation,SAGE,2025-2027
Journal of Family Nursing,1552-549X,Hybrid,Y,,Public Health,SAGE,2025-2027
Medical Care Research and Review,1552-6801,Hybrid,Y,,Public Health,SAGE,2025-2027
Health Education & Behavior,1552-6127,Hybrid,Y,,Public Health,SAGE,2025-2027
Violence Against Women,1552-8448,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Qualitative Inquiry,1552-7565,Hybrid,Y,,Research Methods & Evaluation,SAGE,2025-2027
Journal of Vibration and Control,1741-2986,Hybrid,Y,,Materials Science & Engineering,SAGE,2025-2027
Journal of Human Values,0973-0737,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Teacher Education,1552-7816,Hybrid,Y,,Education,SAGE,2025-2027
South Asian Survey,0973-0788,Hybrid,Y,,Area & Ethnic Studies,SAGE,2025-2027
Journal of Biological Rhythms,1552-4531,Hybrid,Y,,Neurology,SAGE,2025-2027
Journal of Family History,1552-5473,Hybrid,Y,,Sociology,SAGE,2025-2027
Child Maltreatment,1552-6119,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Mathematics and Mechanics of Solids,1741-3028,Hybrid,Y,,Materials Science & Engineering,SAGE,2025-2027
Organization & Environment,1552-7417,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of English Linguistics,1552-5457,Hybrid,Y,,Language & Linguistics,SAGE,2025-2027
International Journal of Offender Therapy and Comparative Criminology,1552-6933,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
The Journal of Environment & Development,1552-5465,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
"Science, Technology and Society",0973-0796,Hybrid,Y,,Sociology,SAGE,2025-2027
Social Science Computer Review,1552-8286,Hybrid,Y,,Science & Society Studies,SAGE,2025-2027
Nonprofit and Voluntary Sector Quarterly,1552-7395,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Public Works Management & Policy,1552-7549,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Homicide Studies,1552-6720,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
The International Journal of High Performance Computing Applications,1741-2846,Hybrid,Y,,Materials Science & Engineering,SAGE,2025-2027
Journal of Contemporary Criminal Justice,1552-5406,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Applied Psychological Measurement,1552-3497,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
The American Review of Public Administration,1552-3357,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Journal of Service Research,1552-7379,Hybrid,Y,,Marketing & Hospitality,SAGE,2025-2027
Organizational Research Methods,1552-7425,Hybrid,Y,,Business & Management,SAGE,2025-2027
The International Journal of Robotics Research,1741-3176,Hybrid,Y,,Materials Science & Engineering,SAGE,2025-2027
The Medieval History Journal,0973-0753,Hybrid,Y,,History,SAGE,2025-2027
"Illness, Crisis & Loss",1552-6968,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Journal of Communication Inquiry,1552-4612,Hybrid,Y,,Communication & Media Studies,SAGE,2025-2027
Men and Masculinities,1552-6828,Hybrid,Y,,Sociology,SAGE,2025-2027
"Bulletin of Science, Technology & Society",1552-4183,Hybrid,Y,,Sociology,SAGE,2025-2027
South Asia Research,1741-3141,Hybrid,Y,,Area & Ethnic Studies,SAGE,2025-2027
The Family Journal,1552-3950,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Journal of Travel Research,1552-6763,Hybrid,Y,,Marketing & Hospitality,SAGE,2025-2027
Journal of Macromarketing,1552-6534,Hybrid,Y,,Marketing & Hospitality,SAGE,2025-2027
Journal of Marketing Education,1552-6550,Hybrid,Y,,Marketing & Hospitality,SAGE,2025-2027
Biological Research For Nursing,1552-4175,Hybrid,Y,,Nursing,SAGE,2025-2027
Journal of Health Management,0973-0729,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Hospitality & Tourism Research,1557-7554,Hybrid,Y,,Marketing & Hospitality,SAGE,2025-2027
Nursing Science Quarterly,1552-7409,Hybrid,Y,,Nursing,SAGE,2025-2027
Journal of Transcultural Nursing,1552-7832,Hybrid,Y,,Nursing,SAGE,2025-2027
"Trauma, Violence, & Abuse",1552-8324,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Health Promotion Practice,1552-6372,Hybrid,Y,,Public Health,SAGE,2025-2027
Field Methods,1552-3969,Hybrid,Y,,Research Methods & Evaluation,SAGE,2025-2027
International Regional Science Review,1552-6925,Hybrid,Y,,"Geography, Earth & Environmental Science",SAGE,2025-2027
Television & New Media,1552-8316,Hybrid,Y,,Communication & Media Studies,SAGE,2025-2027
Journal of Sports Economics,1552-7794,Hybrid,Y,,Economics & Development Studies,SAGE,2025-2027
"Policy, Politics, & Nursing Practice",1552-7468,Hybrid,Y,,Nursing,SAGE,2025-2027
Adult Education Quarterly,1552-3047,Hybrid,Y,,Education,SAGE,2025-2027
Journal of Human Lactation,1552-5732,Hybrid,Y,,Nursing,SAGE,2025-2027
The Neuroscientist,1089-4098,Hybrid,Y,,Neurology,SAGE,2025-2027
Medical Decision Making,1552-681X,Hybrid,Y,,Public Health,SAGE,2025-2027
Police Quarterly,1552-745X,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Criminal Justice Policy Review,1552-3586,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Journal of Diagnostic Medical Sonography,1552-5430,Hybrid,Y,,Clinical Medicine,SAGE,2025-2027
Journal of Planning Education and Research,1552-6577,Hybrid,Y,,"Geography, Earth & Environmental Science",SAGE,2025-2027
Cultural Studies ↔ Critical Methodologies,1552-356X,Hybrid,Y,,Cultural Studies,SAGE,2025-2027
Clinical Case Studies,1552-3802,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Journal of Studies in International Education,1552-7808,Hybrid,Y,,Education,SAGE,2025-2027
Human Resource Development Review,1552-6712,Hybrid,Y,,Business & Management,SAGE,2025-2027
Advances in Developing Human Resources,1552-3055,Hybrid,Y,,Business & Management,SAGE,2025-2027
The International Journal of Press/Politics,1940-1620,Hybrid,Y,,Communication & Media Studies,SAGE,2025-2027
The International Journal of Lower Extremity Wounds,1552-6941,Hybrid,Y,,Cardiology & Cardiovascular Medicine,SAGE,2025-2027
Home Health Care Management & Practice,1552-6739,Hybrid,Y,,Public Health,SAGE,2025-2027
Review of Public Personnel Administration,1552-759X,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Clin-Alert,1530-812X,Hybrid,Y,,Pharmacology & Toxicology,SAGE,2025-2027
Journal of Pharmacy Practice,1531-1937,Hybrid,Y,,Pharmacology & Toxicology,SAGE,2025-2027
Journal of Hispanic Higher Education,1552-5716,Hybrid,Y,,Education,SAGE,2025-2027
Journal of Planning History,1552-6585,Hybrid,Y,,History,SAGE,2025-2027
Journal of Career Assessment,1552-4590,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Assessment,1552-3489,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Space and Culture,1552-8308,Hybrid,Y,,"Geography, Earth & Environmental Science",SAGE,2025-2027
Youth Violence and Juvenile Justice,1556-9330,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Neurorehabilitation and Neural Repair,1552-6844,Hybrid,Y,,Neurology,SAGE,2025-2027
Journal of Intensive Care Medicine,1525-1489,Hybrid,Y,,Clinical Medicine,SAGE,2025-2027
Journal of Transformative Education,1552-7840,Hybrid,Y,,Education,SAGE,2025-2027
East European Politics and Societies,1533-8371,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
Review of Radical Political Economics,1552-8502,Hybrid,Y,,Economics & Development Studies,SAGE,2025-2027
Journal of Geriatric Psychiatry and Neurology,1552-5708,Hybrid,Y,,Aging & Gerontology,SAGE,2025-2027
International Journal of Business Communication,2329-4892,Hybrid,Y,,Communication & Media Studies,SAGE,2025-2027
Business and Professional Communication Quarterly,2329-4922,Hybrid,Y,,Business & Management,SAGE,2025-2027
Journal of Pediatric Hematology/Oncology Nursing,2752-7549,Hybrid,Y,,Nursing,SAGE,2025-2027
The American Journal of Sports Medicine,1552-3365,Hybrid,Y,,"Orthopedics, Biomechanics & Sports Medicine",SAGE,2025-2027
Cornell Hospitality Quarterly,1938-9663,Hybrid,Y,,Marketing & Hospitality,SAGE,2025-2027
Journal of the American Psychiatric Nurses Association,1532-5725,Hybrid,Y,,Nursing,SAGE,2025-2027
Journal of Management,1557-1211,Hybrid,Y,,Business & Management,SAGE,2025-2027
Criminal Justice Review,1556-3839,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
International Criminal Justice Review,1556-3855,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
American Journal of Evaluation,1557-0878,Hybrid,Y,,Research Methods & Evaluation,SAGE,2025-2027
Armed Forces & Society,1556-0848,Hybrid,Y,,Political Science & International Relations,SAGE,2025-2027
The Science of Diabetes Self-Management and Care,2635-0114,Hybrid,Y,,Clinical Medicine,SAGE,2025-2027
Journal of Career Development,1556-0856,Hybrid,Y,,Business & Management,SAGE,2025-2027
Games and Culture,1555-4139,Hybrid,Y,,Sociology,SAGE,2025-2027
Journal of Attention Disorders,1557-1246,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Feminist Criminology,1557-086X,Hybrid,Y,,Criminology & Criminal Justice,SAGE,2025-2027
Journal of Cases in Educational Leadership,1555-4589,Hybrid,Y,,Education,SAGE,2025-2027
Journal of Psychoeducational Assessment,1557-5144,Hybrid,Y,,"Psychology, Psychiatry & Counseling",SAGE,2025-2027
Journal of Mixed Methods Research,1558-6901,Hybrid,Y,,Research Methods & Evaluation,SAGE,2025-2027
