Journal title	ISSN	eISSN	Publisher details	Open Access Status
@GRH	2034-9130	2295-9149	Association Francophone de Gestion des Relations Humaines	
1700-tal: Nordic Journal for Eighteenth-Century Studies	1652-4772	2001-9866	Swedish Society for Eighteenth-Century Studies	Unpaywall Open Access
20 & 21: Revue d'Histoire	2649-664X	2649-6100	Presses de Sciences Po	
2D Materials	-	2053-1583	IOP Publishing Ltd.	
3 Biotech	2190-572X	2190-5738	Springer Science and Business Media Deutschland GmbH	
3D Printing and Additive Manufacturing	2329-7662	2329-7670	Mary Ann Liebert Inc.	
3D Printing in Medicine	-	2365-6271	BioMed Central Ltd	
3L: Language, Linguistics, Literature	0128-5157	2550-2247	Penerbit Universiti Kebangsaan Malaysia	Unpaywall Open Access
452ºF	-	2013-3294	Universitat de Barcelona, Facultad de Filologia	Unpaywall Open Access
4OR	1619-4500	1614-2411	Springer	
A + U-Architecture and Urbanism	0389-9160	-	Japan Architects Co., Ltd.	
A and A Practice	-	2575-3126	Wolters Kluwer Health	
A Contrario	1660-7880	1662-8667	Editions Antipodes	
A e C - Revista de Direito Administrativo e Constitucional	1516-3210	1984-4182	Instituto de Direito Romeu Felipe Bacellar	
a/b: Auto/Biography Studies	0898-9575	2151-7290	Routledge	
A/Z ITU Journal of the Faculty of Architecture	2564-7474	2564-7571	Istanbul Teknik Universitesi, Faculty of Architecture	
A+BE Architecture and the Built Environment	2212-3202	2214-7233	TU Delft Open	
AAA - Arbeiten aus Anglistik und Amerikanistik	0171-5410	-	Gunter Narr Verlag	
AAC: Augmentative and Alternative Communication	0743-4618	1477-3848	Taylor and Francis Ltd.	
AACE Clinical Case Reports	-	2376-0605	Elsevier B.V.	Unpaywall Open Access
AACL Bioflux	1844-8143	1844-9166	Bioflux Publishing House	
AACN Advanced Critical Care	1559-7768	1559-7776	American Association of Critical-Care Nurses	
AANA Journal	0094-6354	2162-5239	AANA Publishing Inc.	
AAO Journal	2375-5776	2375-5717	American Academy of Osteopathy	
AAPG Bulletin	0149-1423	-	American Association of Petroleum Geologists	
AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali	0365-0359	1825-1242	Accademia Peloritana dei Pericolanti	
AAPPS Bulletin	0218-2203	2309-4710	Springer	Unpaywall Open Access
AAPS Advances in the Pharmaceutical Sciences Series	2210-7371	2210-738X	Springer Verlag	
AAPS Journal	1550-7416	-	Springer New York	
AAPS PharmSciTech	-	1530-9932	Springer International Publishing AG	
AAS Open Research	-	2515-9321	F1000 Research Ltd	Unpaywall Open Access
AATCC Journal of Research	2472-3444	2330-5517	SAGE Publications Inc.	
Ab Imperio	2166-4072	2164-9731	Ab Imperio	
ABAC Journal	0858-0855	-	Assumption University	
Abacus	0001-3072	1467-6281	Wiley-Blackwell Publishing Ltd	
Abdominal Radiology	2366-004X	2366-0058	Springer New York	
Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg	0025-5858	1865-8784	Springer Verlag	
aBIOTECH	2096-6326	2662-1738	Springer	
