Journal Title,e-ISSN ,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Academic Pediatrics,1876-2859,Hybrid,Y,,,Elsevier,2023-2025
Academic Radiology,1076-6332,Hybrid,Y,,,Elsevier,2023-2025
Accident Analysis & Prevention,0001-4575,Hybrid,Y,,,Elsevier,2023-2025
"Accounting, Organizations and Society",0361-3682,Hybrid,Y,,,Elsevier,2023-2025
Acta Astronautica,0094-5765,Hybrid,Y,,,Elsevier,2023-2025
Acta Biomaterialia,1742-7061,Hybrid,Y,,,Elsevier,2023-2025
Acta Colombiana de Cuidado Intensivo,0122-7262,Hybrid,Y,,,Elsevier,2023-2025
Acta Histochemica,0065-1281,Hybrid,Y,,,Elsevier,2023-2025
Acta Materialia,1359-6454,Hybrid,Y,,,Elsevier,2023-2025
Acta Oecologica,1146-609X,Hybrid,Y,,,Elsevier,2023-2025
Acta Otorrinolaringológica (English Edition),2173-5735,Hybrid,Y,,,Elsevier,2023-2025
Acta Otorrinolaringológica Española,0001-6519,Hybrid,Y,,,Elsevier,2023-2025
Acta Physico-Chimica Sinica,1000-6818,Hybrid,Y,,,Elsevier,2023-2025
Acta Tropica,0001-706X,Hybrid,Y,,,Elsevier,2023-2025
Actas Urológicas Españolas,0210-4806,Hybrid,Y,,,Elsevier,2023-2025
Actas Urológicas Españolas (English Edition),2173-5786,Hybrid,Y,,,Elsevier,2023-2025
Ad Hoc Networks,1570-8705,Hybrid,Y,,,Elsevier,2023-2025
Addictive Behaviors,0306-4603,Hybrid,Y,,,Elsevier,2023-2025
Additive Manufacturing,2214-8604,Hybrid,Y,,,Elsevier,2023-2025
Advanced Drug Delivery Reviews,0169-409X,Hybrid,Y,,,Elsevier,2023-2025
Advanced Engineering Informatics,1474-0346,Hybrid,Y,,,Elsevier,2023-2025
Advanced Powder Technology,0921-8831,Hybrid,Y,,,Elsevier,2023-2025
Advances in Accounting,0882-6110,Hybrid,Y,,,Elsevier,2023-2025
Advances in Applied Mathematics,0196-8858,Hybrid,Y,,,Elsevier,2023-2025
Advances in Biological Regulation,2212-4926,Hybrid,Y,,,Elsevier,2023-2025
Advances in Colloid and Interface Science,0001-8686,Hybrid,Y,,,Elsevier,2023-2025
Advances in Engineering Software,0965-9978,Hybrid,Y,,,Elsevier,2023-2025
Advances in Integrative Medicine,2212-9588,Hybrid,Y,,,Elsevier,2023-2025
Advances in Kidney Disease and Health,2949-8139,Hybrid,Y,,,Elsevier,2023-2025
Advances in Life Course Research,1569-4909,Hybrid,Y,,,Elsevier,2023-2025
Advances in Mathematics,0001-8708,Hybrid,Y,,,Elsevier,2023-2025
Advances in Medical Sciences,1896-1126,Hybrid,Y,,,Elsevier,2023-2025
Advances in Space Research,0273-1177,Hybrid,Y,,,Elsevier,2023-2025
Advances in Water Resources,0309-1708,Hybrid,Y,,,Elsevier,2023-2025
Aeolian Research,1875-9637,Hybrid,Y,,,Elsevier,2023-2025
Aerospace Science and Technology,1270-9638,Hybrid,Y,,,Elsevier,2023-2025
AEÜ - International Journal of Electronics and Communications,1434-8411,Hybrid,Y,,,Elsevier,2023-2025
African Transport Studies,2950-1962,Hybrid,Y,,,Elsevier,2023-2025
Ageing Research Reviews,1568-1637,Hybrid,Y,,,Elsevier,2023-2025
Aggression and Violent Behavior,1359-1789,Hybrid,Y,,,Elsevier,2023-2025
Agricultural and Forest Meteorology,0168-1923,Hybrid,Y,,,Elsevier,2023-2025
Agricultural Systems,0308-521X,Hybrid,Y,,,Elsevier,2023-2025
Agricultural Water Management,0378-3774, Gold,N,APC discount available,,Elsevier,2023-2025
"Agriculture, Ecosystems & Environment",0167-8809,Hybrid,Y,,,Elsevier,2023-2025
Air Medical Journal,1067-991X,Hybrid,Y,,,Elsevier,2023-2025
AJO-DO Clinical Companion,2666-4305,Hybrid,Y,,,Elsevier,2023-2025
Alcohol,0741-8329,Hybrid,Y,,,Elsevier,2023-2025
Algal Research,2211-9264,Hybrid,Y,,,Elsevier,2023-2025
American Heart Journal,0002-8703,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Emergency Medicine,0735-6757,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Infection Control,0196-6553,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Kidney Diseases,0272-6386,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Obstetrics & Gynecology,0002-9378,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Obstetrics & Gynecology MFM,2589-9333,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Ophthalmology,0002-9394,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Otolaryngology,0196-0709, Gold,N,APC discount available,,Elsevier,2023-2025
American Journal of Pharmaceutical Education,0002-9459,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Preventive Medicine,0749-3797,Hybrid,Y,,,Elsevier,2023-2025
American Journal of Transplantation,1600-6135,Hybrid,Y,,,Elsevier,2023-2025
