Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Journal of Consumer Protection and Food Safety,1661-5867,Hybrid,Y,,Biomedical and Life Sciences,Springer,2023-2025
Nexus Network Journal,1522-4600,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Archivum Immunologiae et Therapiae Experimentalis,1661-4917,Hybrid,Y,,,Springer,2023-2025
Advances in Applied Clifford Algebras,1661-4909,Hybrid,Y,,Physics and Astronomy,Springer,2023-2025
Mediterranean Journal of Mathematics,1660-5454,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Aequationes Mathematicae,1420-8903,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Inflammation Research,1420-908X,Hybrid,Y,,Biomedical and Life Sciences,Springer,2023-2025
Algebra Universalis,1420-8911,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Archiv der Mathematik,1420-8938,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Physics in Perspective,1422-6960,Hybrid,Y,,Physics and Astronomy,Springer,2023-2025
Cellular and Molecular Life Sciences,1420-9071,Hybrid,Y,,Biomedical and Life Sciences,Springer,2023-2025
Integral Equations and Operator Theory,1420-8989,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Journal of Mathematical Fluid Mechanics,1422-6952,Hybrid,Y,,Physics and Astronomy,Springer,2023-2025
Journal of Geometry,1420-8997,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Annales Henri Poincaré,1424-0661,Hybrid,Y,,Physics and Astronomy,Springer,2023-2025
Pure and Applied Geophysics,1420-9136,Hybrid,Y,,Earth and Environmental Science,Springer,2023-2025
Results in Mathematics,1420-9012,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Annals of Combinatorics,0219-3094,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Aquatic Sciences,1420-9055,Hybrid,Y,,Biomedical and Life Sciences,Springer,2023-2025
Journal of Evolution Equations,1424-3202,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Selecta Mathematica,1420-9020,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Nonlinear Differential Equations and Applications NoDEA,1420-9004,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Transformation Groups,1531-586X,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Milan Journal of Mathematics,1424-9294,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Zeitschrift für Angewandte Mathematik und Physik,1420-9039,Hybrid,Y,,Engineering,Springer,2023-2025
"Circuits, Systems, and Signal Processing",1531-5878,Hybrid,Y,,Engineering,Springer,2023-2025
Alpine Botany,1664-221X,Hybrid,Y,,Biomedical and Life Sciences,Springer,2023-2025
Computational Complexity,1420-8954,Hybrid,Y,,Computer Science,Springer,2023-2025
Geometric and Functional Analysis,1420-8970,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Insectes Sociaux,1420-9098,Hybrid,Y,,Biomedical and Life Sciences,Springer,2023-2025
Journal of Fourier Analysis and Applications,1531-5851,Hybrid,Y,,Mathematics and Statistics,Springer,2023-2025
Medicinal Chemistry Research,1554-8120,Hybrid,Y,,Biomedical and Life Sciences,Springer,2023-2025
