Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
a/b: Auto/Biography Studies,2151-7290,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Accountability in Research,1545-5815,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Accounting and Business Research,2159-4260,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Accounting Education,1468-4489,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Accounting Forum,1467-6303,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Accounting History Review,2155-286X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Accounting in Europe,1744-9499,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Acta Agri Scand A Animal Sci,1651-1972,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Acta Agriculturae Scandinavica Section B,,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Acta Borealia Online,1503-111X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Acta Cardiologica,0373-7934,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Acta Chirurgica Belgica,2577-0160,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Acta Clinica Belgica: International Journal of Clinical and Laboratory Medicine,2295-3337,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Acta Linguistica Hafniensia: International,1949-0763,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Acta Oto-Laryngologica,1651-2251,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Acta Oto-Laryngologica Case Reports,2377-2484,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Action in Teacher Education,2158-6098,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Action Learning: Research & Practice,1476-7341,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
"Activities, Adaptation & Aging",1544-4368,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Addiction Research & Theory,1476-7392 ,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Adelphi Series,1944-558X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Adipocyte,2162-397X,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Administrative Theory & Praxis  ,1949-0461,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Adoption Quarterly,1544-452X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Advanced Composite Materials,1568-5519,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Advanced Manufacturing: Polymer & Composites Science,2055-0359,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Advanced Robotics,1568-5535,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Advances in Building Energy Research,1756-2201,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Advances in Materials and Processing Technologies,2374-0698,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Advances in Mental Health,1837-4905,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Advances in Physics,1460-6976,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
"Advances in Physics: Astronomy, Astrophysics and Particle Physics",,Gold OA,,Discounted,,Taylor & Francis,2024-2026
Advances in Physics: X,2374-6149,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Aerosol Science & Technology,1521-7388,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Africa Education Review,1753-5921,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Africa Journal of Management,2332-2381,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African and Black Diaspora: An Internationational,1752-864X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Geographical Review,2163-2642,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Historical Review,1753-2531,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Identities,1472-5851,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Journal of AIDS Research,1727-9445,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Journal of Aquatic Science,1727-9364,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
African Journal of Herpetology,2153-3660,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
African Journal of Marine Science,1814-2338,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
African Journal of Range & Forage Science,1727-9380,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
"African Journal of Research in Mathematics, Science and Technology Education",2469-7656,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
"African Journal of Science, Technology, Innovation and Development",2042-1346,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Journalism Studies,2374-3689,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Security,1939-2214,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Security Review,2154-0128,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Studies,1469-2872,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
African Zoology,2224-073X,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Agenda,2158-978X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Aging & Mental Health,1364-6915,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
"Aging, Neuropsychology, and Cognition",1744-4128,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Agrekon,2078-0400,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Agroecology and Sustainable Food Systems ,2168-3573,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
AICCM Bulletin ,2204-4183,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
AIDS Care,1360-0451,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
AJOB Empirical Bioethics,2329-4523,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
AJOB Neuroscience,2150-7759,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
AKCE International Journal of Graphs and Combinatorics,2543-3474,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Alcheringa: An Australasian Journal of Palaeontology,1752-0754,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Alcoholism Treatment Quarterly,1544-4538,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Alexandria Journal of Medicine,2090-5068,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
Al-Masaq: Journal of the Medieval Mediterranean ,1473-348X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Ambix: The Journal of the Society for the History of Alchemy and Chemistry,1745-8234,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Amerasia Journal,,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
American Communist History,1474-3906,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
American Journal of Bioethics,1536-0075,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
American Journal of Clinical Hypnosis,2160-0562,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
American Journal of Distance Education,1538-9286,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
American Journal of Family Therapy,1521-0383,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
American Journal of Health Education,2168-3751,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
American Journal of Mathematical & Management Sciences,2325-8454,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
American Journal Of Sexuality Education,1554-6136,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
American Journalism,2326-2486,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
American Nineteenth Century History,1743-7903,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
