Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Abacus,14676281,Hybrid,Y,,General & Introductory Accounting,Wiley,2022-2025
Academic Emergency Medicine,15532712,Hybrid,Y,,Emergency Medicine & Trauma,Wiley,2022-2025
Accounting & Finance,1467629X,Hybrid,Y,,General & Introductory Accounting,Wiley,2022-2025
Accounting Perspectives,19113838,Hybrid,Y,,Financial Accounting,Wiley,2022-2025
Acta Anaesthesiologica Scandinavica,13996576,Hybrid,Y,,Anesthesia & Pain Management,Wiley,2022-2025
Acta Crystallographica Section A: Foundations and Advances,20532733,Hybrid,Y,,Crystallography,Wiley,2022-2025
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",20525206,Hybrid,Y,,Crystallography,Wiley,2022-2025
Acta Crystallographica Section C: Structural Chemistry,20532296,Hybrid,Y,,Crystallography,Wiley,2022-2025
Acta Crystallographica Section D: Structural Biology,20597983,Hybrid,Y,,Crystallography,Wiley,2022-2025
Acta Crystallographica Section F: Structural Biology Communications,2053230X,Hybrid,Y,,Crystallography,Wiley,2022-2025
Acta Geologica Sinica (English Edition),17556724,Hybrid,Y,,General & Introductory Earth Sciences,Wiley,2022-2025
Acta Ophthalmologica,17553768,Hybrid,Y,,Ophthalmology,Wiley,2022-2025
Acta Paediatrica,16512227,Hybrid,Y,,Pediatrics,Wiley,2022-2025
Acta Physiologica,17481716,Hybrid,Y,,Physiology,Wiley,2022-2025
Acta Psychiatrica Scandinavica,16000447,Hybrid,Y,,Psychiatry,Wiley,2022-2025
Acta Zoologica,14636395,Hybrid,Y,,Animal Science & Zoology,Wiley,2022-2025
Addiction,13600443,Hybrid,Y,,Addiction,Wiley,2022-2025
Advanced Biology,27010198,Hybrid,Y,,General & Introductory Life Sciences,Wiley,2022-2025
Advanced Control for Applications: Engineering and Industrial Systems ,25780727,Hybrid,Y,,Control Systems Technology,Wiley,2022-2025
Advanced Energy Materials,16146840,Hybrid,Y,,General & Introductory Materials Science,Wiley,2022-2025
Advanced Engineering Materials,15272648,Hybrid,Y,,General & Introductory Materials Science,Wiley,2022-2025
Advanced Functional Materials,16163028,Hybrid,Y,,General & Introductory Materials Science,Wiley,2022-2025
Advanced Healthcare Materials,21922659,Hybrid,Y,,General & Introductory Materials Science,Wiley,2022-2025
Advanced Materials,15214095,Hybrid,Y,,General & Introductory Materials Science,Wiley,2022-2025
Advanced Materials Technologies,2365709X,Hybrid,Y,,General & Introductory Materials Science,Wiley,2022-2025
Advanced Optical Materials,21951071,Hybrid,Y,,General & Introductory Materials Science,Wiley,2022-2025
Advanced Quantum Technologies,25119044,Hybrid,Y,,Quantum Physics & Field Theory,Wiley,2022-2025
Advanced Sustainable Systems,23667486,Hybrid,Y,,General & Introductory Environmental Studies,Wiley,2022-2025
Advanced Synthesis & Catalysis,16154169,Hybrid,Y,,Organic Chemistry,Wiley,2022-2025
Advanced Theory and Simulations,25130390,Hybrid,Y,,"Theory, Modeling & Simulation",Wiley,2022-2025
Advanced Therapeutics,23663987,Hybrid,Y,,Pharmacology & Pharmaceutical Medicine,Wiley,2022-2025
Advances in Digestive Medicine,23519800,Hybrid,Y,,Gastrointestinal Surgery,Wiley,2022-2025
AEM Education and Training,24725390,Hybrid,Y,,Emergency Medicine & Trauma,Wiley,2022-2025
African Development Review,14678268,Hybrid,Y,,General & Introductory Development Studies,Wiley,2022-2025
African Journal of Ecology,13652028,Hybrid,Y,,Ecology & Organismal Biology,Wiley,2022-2025
Aggressive Behavior,10982337,Hybrid,Y,,Brain & Behavior: Physiological Psychology,Wiley,2022-2025
Agribusiness,15206297,Hybrid,Y,,Agricultural Economics & Resource Management,Wiley,2022-2025
Agricultural and Forest Entomology,14619563,Hybrid,Y,,Entomology,Wiley,2022-2025
Agricultural Economics,15740862,Hybrid,Y,,Agricultural Economics & Resource Management,Wiley,2022-2025
Agronomy Journal,14350645,Hybrid,Y,,Crops,Wiley,2022-2025
AIChE Journal,15475905,Hybrid,Y,,General & Introductory Chemical Engineering,Wiley,2022-2025
"Alcohol, Clinical and Experimental Research",29937175,Hybrid,Y,,Alcoholism and alcohol-related disorders,Wiley,2022-2025
Alimentary Pharmacology & Therapeutics,13652036,Hybrid,Y,,Gastroenterology & Hepatology,Wiley,2022-2025
Allergy,13989995,Hybrid,Y,,Allergy & Clinical Immunology,Wiley,2022-2025
American Anthropologist,15481433,Hybrid,Y,,General & Introductory Anthropology,Wiley,2022-2025
American Business Law Journal,17441714,Hybrid,Y,,Commercial Law,Wiley,2022-2025
American Ethnologist,15481425,Hybrid,Y,,Anthropological Theory & Methods / Ethnography,Wiley,2022-2025
American Journal of Agricultural Economics,14678276,Hybrid,Y,,Agricultural Economics & Resource Management,Wiley,2022-2025
American Journal of Biological Anthropology,26927691,Hybrid,Y,,Biological Anthropology,Wiley,2022-2025
American Journal of Botany,15372197,Hybrid,Y,,Plant Science,Wiley,2022-2025
American Journal of Community Psychology,15732770,Hybrid,Y,,Psychology General,Wiley,2022-2025
