Journal title,ISSN,eISSN,Publisher details
2D MATERIALS,2053-1583,2053-1583,IOP PUBLISHING LTD
3 BIOTECH,2190-572X,2190-5738,SPRINGER HEIDELBERG
3D PRINTING AND ADDITIVE MANUFACTURING,2329-7662,2329-7670,"MARY ANN LIEBERT, INC"
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,1619-4500,1614-2411,SPRINGER HEIDELBERG
AAPG BULLETIN,0149-1423,1558-9153,AMER ASSOC PETROLEUM GEOLOGIST
AAPS JOURNAL,1550-7416,1550-7416,SPRINGER
AAPS PHARMSCITECH,1530-9932,1530-9932,SPRINGER
AATCC JOURNAL OF RESEARCH,2472-3444,2330-5517,SAGE PUBLICATIONS INC
AATCC REVIEW,1532-8813,1532-8813,AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC
ABDOMINAL RADIOLOGY,2366-004X,2366-0058,SPRINGER
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,1865-8784,SPRINGER HEIDELBERG
ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,WILEY
ACADEMIC MEDICINE,1040-2446,1938-808X,LIPPINCOTT WILLIAMS & WILKINS
ACADEMIC PEDIATRICS,1876-2859,1876-2867,ELSEVIER SCIENCE INC
ACADEMIC RADIOLOGY,1076-6332,1878-4046,ELSEVIER SCIENCE INC
ACAROLOGIA,0044-586X,2107-7207,ACAROLOGIA-UNIVERSITE PAUL VALERY
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,0898-9621,1545-5815,TAYLOR & FRANCIS INC
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,AMER CHEMICAL SOC
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,SPRINGER
ACI MATERIALS JOURNAL,0889-325X,1944-737X,AMER CONCRETE INST
ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,AMER CONCRETE INST
ACM COMPUTING SURVEYS,0360-0300,1557-7341,ASSOC COMPUTING MACHINERY
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,1556-4673,1556-4711,ASSOC COMPUTING MACHINERY
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,1550-4832,1550-4840,ASSOC COMPUTING MACHINERY
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,0146-4833,1943-5819,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON ALGORITHMS,1549-6325,1549-6333,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON APPLIED PERCEPTION,1544-3558,1544-3965,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1544-3566,1544-3973,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,2375-4699,2375-4702,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,1556-4665,1556-4703,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,1529-3785,1557-945X,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,1557-7325,ASSOC COMPUTING MACHINERY
